datetime,code,open,high,low,close,volume,amount,adjustflag,invalid_null_ohlcv,invalid_nonpositive_price,invalid_nonpositive_volume,invalid_high_low_inconsistent,invalid_open_outside_range,invalid_close_outside_range,invalid_outside_session
2024-09-27 10:30:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 10:35:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 10:40:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 10:45:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 10:50:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 10:55:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 11:00:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 11:05:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2024-09-27 11:10:00,688981,47.71,47.71,47.71,47.71,0,0.0,2,0,0,1,0,0,0,0
2025-09-01 09:35:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 09:40:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 09:45:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 09:50:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 09:55:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:00:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:05:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:10:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:15:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:20:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:25:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:30:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:35:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:40:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
2025-09-01 10:45:00,688981,0.0,0.0,0.0,0.0,0,0.0,2,0,1,1,0,0,0,0
