side,prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,future_return_mean
buy,0,79,0.38608688,0.26582278481012656,-0.0010914020196756656,-0.0011069040036677904
buy,1,78,0.42205703,0.19230769230769232,-0.000854142771826397,-0.0008188030736482887
buy,2,78,0.4441867,0.1794871794871795,-0.0006775566262715369,-0.0006680563152285806
buy,3,79,0.46123332,0.2911392405063291,-0.0002510344263430026,-0.00019543752292917898
buy,4,78,0.4779856,0.2692307692307692,-0.00019451961246458172,-0.0005315053911626256
buy,5,78,0.49394432,0.28205128205128205,0.0004634103199380991,0.00058568971315065
buy,6,79,0.50899583,0.31645569620253167,-0.0003413754094487403,-0.00035661092867845113
buy,7,78,0.5297611,0.3333333333333333,0.0006013499111254119,0.0006629198103349812
buy,8,78,0.5570642,0.21794871794871795,-0.002457599062478727,-0.002492607777134213
buy,9,79,0.6053687,0.27848101265822783,-0.000986143769156663,-0.0009286723476201727
sell,0,79,0.057512198,0.3924050632911392,-0.0010562534134944707,-0.0010885439865247531
sell,1,78,0.1603574,0.34615384615384615,0.0006137372691076537,0.0005659308940081803
sell,2,78,0.2626327,0.34615384615384615,-0.0005615338089367638,-0.0006082829009971386
sell,3,79,0.34927297,0.3924050632911392,-0.001999018181137286,-0.0016645866479995713
sell,4,78,0.4373474,0.32051282051282054,-0.00019558770587914991,-8.998070842810767e-05
sell,5,78,0.51694584,0.3076923076923077,-0.0003641722251274354,-0.0006488602795304319
sell,6,79,0.6029302,0.3670886075949367,-0.0002572046846968944,-0.0002900554238768661
sell,7,78,0.7067433,0.38461538461538464,-0.0001989982092347877,-0.00021497526520434325
sell,8,78,0.81539196,0.48717948717948717,-0.0014244013944558693,-0.0015457196730545603
sell,9,79,0.9205789,0.379746835443038,-0.00033307349543728844,-0.00025579390699529737
