,equity,benchmark_equity,alpha_equity
2021-01-13 09:35:00,1002976.0,1002976.0,1000000.0
2021-01-13 09:40:00,996001.0,996001.0,1000000.0
2021-01-13 09:45:00,990514.0,990514.0,1000000.0
2021-01-13 09:50:00,994420.0,994420.0,1000000.0
2021-01-13 09:55:00,990886.0,990886.0,1000000.0
2021-01-13 10:00:00,989026.0,989026.0,1000000.0
2021-01-13 10:05:00,991909.0,991909.0,1000000.0
2021-01-13 10:10:00,991072.0,991072.0,1000000.0
2021-01-13 10:15:00,995536.0,995536.0,1000000.0
2021-01-13 10:20:00,993955.0,993955.0,1000000.0
2021-01-13 10:25:00,993211.0,993211.0,1000000.0
2021-01-13 10:30:00,991630.0,991630.0,1000000.0
2021-01-13 10:35:00,990793.0,990793.0,1000000.0
2021-01-13 10:40:00,989863.0,989863.0,1000000.0
2021-01-13 10:45:00,991165.0,991165.0,1000000.0
2021-01-13 10:50:00,993211.0,993211.0,1000000.0
2021-01-13 10:55:00,997117.0,997117.0,1000000.0
2021-01-13 11:00:00,996931.0,996931.0,1000000.0
2021-01-13 11:05:00,999442.0,999442.0,1000000.0
2021-01-13 11:10:00,1000093.0,1000093.0,1000000.0
2021-01-13 11:15:00,1002418.0,1002418.0,1000000.0
2021-01-13 11:20:00,1000093.0,1000093.0,1000000.0
2021-01-13 11:25:00,996373.0,996373.0,1000000.0
2021-01-13 11:30:00,995350.0,995350.0,1000000.0
2021-01-13 13:05:00,994606.0,994606.0,1000000.0
2021-01-13 13:10:00,995629.0,995629.0,1000000.0
2021-01-13 13:15:00,996466.0,996466.0,1000000.0
2021-01-13 13:20:00,994420.0,994420.0,1000000.0
2021-01-13 13:25:00,991149.381239,989956.0,1001193.381239
2021-01-13 13:30:00,988903.798744,988003.0,1000900.798744
2021-01-13 13:35:00,988996.798744,988096.0,1000900.798744
2021-01-13 13:40:00,988810.798744,987910.0,1000900.798744
2021-01-13 13:45:00,988531.798744,987631.0,1000900.798744
2021-01-13 13:50:00,984532.798744,983632.0,1000900.798744
2021-01-13 13:55:00,986764.798744,985864.0,1000900.798744
2021-01-13 14:00:00,989740.798744,988840.0,1000900.798744
2021-01-13 14:05:00,990484.798744,989584.0,1000900.798744
2021-01-13 14:10:00,989275.798744,988375.0,1000900.798744
2021-01-13 14:15:00,990484.798744,989584.0,1000900.798744
2021-01-13 14:20:00,989182.798744,988282.0,1000900.798744
2021-01-13 14:25:00,987136.798744,986236.0,1000900.798744
2021-01-13 14:30:00,989182.798744,988282.0,1000900.798744
2021-01-13 14:35:00,986671.798744,985771.0,1000900.798744
2021-01-13 14:40:00,986950.798744,986050.0,1000900.798744
2021-01-13 14:45:00,987229.798744,986329.0,1000900.798744
2021-01-13 14:50:00,987322.798744,986422.0,1000900.798744
2021-01-13 14:55:00,987768.7176325,987445.0,1000323.7176325
2021-01-13 15:00:00,987766.9410685,987724.0,1000042.9410685
2021-01-14 09:35:00,994648.9410685,994606.0,1000042.9410685
2021-01-14 09:40:00,998368.9410685,998326.0,1000042.9410685
2021-01-14 09:45:00,993997.9410685,993955.0,1000042.9410685
2021-01-14 09:50:00,990649.9410685,990607.0,1000042.9410685
2021-01-14 09:55:00,989626.9410685,989584.0,1000042.9410685
2021-01-14 10:00:00,989347.9410685,989305.0,1000042.9410685
2021-01-14 10:05:00,983674.9410685,983632.0,1000042.9410685
2021-01-14 10:10:00,982837.9410685,982795.0,1000042.9410685
2021-01-14 10:15:00,986278.9410685,986236.0,1000042.9410685
2021-01-14 10:20:00,984790.9410685,984748.0,1000042.9410685
2021-01-14 10:25:00,985162.9410685,985120.0,1000042.9410685
2021-01-14 10:30:00,986464.9410685,986422.0,1000042.9410685
2021-01-14 10:35:00,990463.9410685,990421.0,1000042.9410685
2021-01-14 10:40:00,991951.9410685,991909.0,1000042.9410685
2021-01-14 10:45:00,994927.9410685,994885.0,1000042.9410685
2021-01-14 10:50:00,994369.9410685,994327.0,1000042.9410685
2021-01-14 10:55:00,996508.9410685,996466.0,1000042.9410685
2021-01-14 11:00:00,997810.9410685,997768.0,1000042.9410685
2021-01-14 11:05:00,999391.9410685,999349.0,1000042.9410685
2021-01-14 11:10:00,1008691.9410685,1008649.0,1000042.9410685
2021-01-14 11:15:00,1012318.9410685,1012276.0,1000042.9410685
2021-01-14 11:20:00,1011388.9410685,1011346.0,1000042.9410685
2021-01-14 11:25:00,1009435.9410685,1009393.0,1000042.9410685
2021-01-14 11:30:00,1011388.9410685,1011346.0,1000042.9410685
2021-01-14 13:05:00,1013527.9410685002,1013485.0000000001,1000042.9410685
2021-01-14 13:10:00,1012318.9410685,1012276.0,1000042.9410685
2021-01-14 13:15:00,1014085.9410685,1014043.0,1000042.9410685
2021-01-14 13:20:00,1009993.9410685,1009951.0,1000042.9410685
2021-01-14 13:25:00,1010086.9410685,1010044.0,1000042.9410685
2021-01-14 13:30:00,1008784.9410685,1008742.0,1000042.9410685
2021-01-14 13:35:00,1009342.9410685,1009300.0,1000042.9410685
2021-01-14 13:40:00,1007761.9410685,1007719.0,1000042.9410685
2021-01-14 13:45:00,1005250.9410685,1005208.0,1000042.9410685
2021-01-14 13:50:00,1007203.9410685,1007161.0,1000042.9410685
2021-01-14 13:55:00,1009342.9410685,1009300.0,1000042.9410685
2021-01-14 14:00:00,1009063.9410685,1009021.0,1000042.9410685
2021-01-14 14:05:00,1009249.9410685,1009207.0,1000042.9410685
2021-01-14 14:10:00,1005994.9410685,1005952.0,1000042.9410685
2021-01-14 14:15:00,1005622.9410685,1005580.0,1000042.9410685
2021-01-14 14:20:00,1003669.9410685,1003627.0,1000042.9410685
2021-01-14 14:25:00,1003576.9410685,1003534.0,1000042.9410685
2021-01-14 14:30:00,1001995.9410685,1001953.0,1000042.9410685
2021-01-14 14:35:00,1003483.9410685,1003441.0,1000042.9410685
2021-01-14 14:40:00,1004041.9410685,1003999.0,1000042.9410685
2021-01-14 14:45:00,1001716.9410685,1001674.0,1000042.9410685
2021-01-14 14:50:00,1002646.9410685,1002604.0,1000042.9410685
2021-01-14 14:55:00,1000786.9410685,1000744.0,1000042.9410685
2021-01-14 15:00:00,1001530.9410685,1001488.0,1000042.9410685
2021-01-15 09:35:00,1001158.9410685,1001116.0,1000042.9410685
2021-01-15 09:40:00,1005808.9410685,1005766.0,1000042.9410685
2021-01-15 09:45:00,1010458.9410685,1010416.0,1000042.9410685
2021-01-15 09:50:00,1013527.9410685002,1013485.0000000001,1000042.9410685
2021-01-15 09:55:00,1009435.9410685,1009393.0,1000042.9410685
2021-01-15 10:00:00,1011202.9410685002,1011160.0000000001,1000042.9410685
2021-01-15 10:05:00,1009528.9410685,1009486.0,1000042.9410685
2021-01-15 10:10:00,1010179.9410684999,1010136.9999999999,1000042.9410685
2021-01-15 10:15:00,1007761.9410685,1007719.0,1000042.9410685
2021-01-15 10:20:00,1005064.9410685,1005022.0,1000042.9410685
2021-01-15 10:25:00,1001437.9410685,1001395.0,1000042.9410685
2021-01-15 10:30:00,999484.9410685,999442.0,1000042.9410685
2021-01-15 10:35:00,998368.9410685,998326.0,1000042.9410685
2021-01-15 10:40:00,998647.9410685,998605.0,1000042.9410685
2021-01-15 10:45:00,996880.9410685,996838.0,1000042.9410685
2021-01-15 10:50:00,995857.9410685,995815.0,1000042.9410685
2021-01-15 10:55:00,998647.9410685,998605.0,1000042.9410685
2021-01-15 11:00:00,995206.9410685,995164.0,1000042.9410685
2021-01-15 11:05:00,991765.9410685,991723.0,1000042.9410685
