,equity,benchmark_equity,alpha_equity
2021-01-13 09:35:00,1002976.0,1002976.0,1000000.0
2021-01-13 09:40:00,996001.0,996001.0,1000000.0
2021-01-13 09:45:00,990514.0,990514.0,1000000.0
2021-01-13 09:50:00,994420.0,994420.0,1000000.0
2021-01-13 09:55:00,990886.0,990886.0,1000000.0
2021-01-13 10:00:00,989026.0,989026.0,1000000.0
2021-01-13 10:05:00,991909.0,991909.0,1000000.0
2021-01-13 10:10:00,991072.0,991072.0,1000000.0
2021-01-13 10:15:00,995536.0,995536.0,1000000.0
2021-01-13 10:20:00,993955.0,993955.0,1000000.0
2021-01-13 10:25:00,993181.07333,993211.0,999970.07333
2021-01-13 10:30:00,991940.07333,991630.0,1000310.07333
2021-01-13 10:35:00,990933.80026,990793.0,1000140.80026
2021-01-13 10:40:00,990003.80026,989863.0,1000140.80026
2021-01-13 10:45:00,991305.80026,991165.0,1000140.80026
2021-01-13 10:50:00,993351.80026,993211.0,1000140.80026
2021-01-13 10:55:00,997257.80026,997117.0,1000140.80026
2021-01-13 11:00:00,997071.80026,996931.0,1000140.80026
2021-01-13 11:05:00,999582.80026,999442.0,1000140.80026
2021-01-13 11:10:00,1000233.80026,1000093.0,1000140.80026
2021-01-13 11:15:00,1002558.80026,1002418.0,1000140.80026
2021-01-13 11:20:00,1000233.80026,1000093.0,1000140.80026
2021-01-13 11:25:00,996513.80026,996373.0,1000140.80026
2021-01-13 11:30:00,995490.80026,995350.0,1000140.80026
2021-01-13 13:05:00,994746.80026,994606.0,1000140.80026
2021-01-13 13:10:00,995769.80026,995629.0,1000140.80026
2021-01-13 13:15:00,996606.80026,996466.0,1000140.80026
2021-01-13 13:20:00,994560.80026,994420.0,1000140.80026
2021-01-13 13:25:00,991790.631696,989956.0,1001834.631696
2021-01-13 13:30:00,989422.353316,988003.0,1001419.353316
2021-01-13 13:35:00,989515.353316,988096.0,1001419.353316
2021-01-13 13:40:00,989329.353316,987910.0,1001419.353316
2021-01-13 13:45:00,989050.353316,987631.0,1001419.353316
2021-01-13 13:50:00,985051.353316,983632.0,1001419.353316
2021-01-13 13:55:00,987283.353316,985864.0,1001419.353316
2021-01-13 14:00:00,990259.353316,988840.0,1001419.353316
2021-01-13 14:05:00,991003.353316,989584.0,1001419.353316
2021-01-13 14:10:00,989794.353316,988375.0,1001419.353316
2021-01-13 14:15:00,991003.353316,989584.0,1001419.353316
2021-01-13 14:20:00,989701.353316,988282.0,1001419.353316
2021-01-13 14:25:00,987655.353316,986236.0,1001419.353316
2021-01-13 14:30:00,989701.353316,988282.0,1001419.353316
2021-01-13 14:35:00,987190.353316,985771.0,1001419.353316
2021-01-13 14:40:00,987469.353316,986050.0,1001419.353316
2021-01-13 14:45:00,987748.353316,986329.0,1001419.353316
2021-01-13 14:50:00,987841.353316,986422.0,1001419.353316
2021-01-13 14:55:00,988864.353316,987445.0,1001419.353316
2021-01-13 15:00:00,989143.353316,987724.0,1001419.353316
2021-01-14 09:35:00,996025.353316,994606.0,1001419.353316
2021-01-14 09:40:00,999745.353316,998326.0,1001419.353316
2021-01-14 09:45:00,995374.353316,993955.0,1001419.353316
2021-01-14 09:50:00,992026.353316,990607.0,1001419.353316
2021-01-14 09:55:00,991003.353316,989584.0,1001419.353316
2021-01-14 10:00:00,990724.353316,989305.0,1001419.353316
2021-01-14 10:05:00,985051.353316,983632.0,1001419.353316
2021-01-14 10:10:00,984214.353316,982795.0,1001419.353316
2021-01-14 10:15:00,987655.353316,986236.0,1001419.353316
2021-01-14 10:20:00,986167.353316,984748.0,1001419.353316
2021-01-14 10:25:00,986539.353316,985120.0,1001419.353316
2021-01-14 10:30:00,987841.353316,986422.0,1001419.353316
2021-01-14 10:35:00,991840.353316,990421.0,1001419.353316
2021-01-14 10:40:00,993328.353316,991909.0,1001419.353316
2021-01-14 10:45:00,996304.353316,994885.0,1001419.353316
2021-01-14 10:50:00,995746.353316,994327.0,1001419.353316
2021-01-14 10:55:00,997885.353316,996466.0,1001419.353316
2021-01-14 11:00:00,999187.353316,997768.0,1001419.353316
2021-01-14 11:05:00,1000768.353316,999349.0,1001419.353316
2021-01-14 11:10:00,1010068.353316,1008649.0,1001419.353316
2021-01-14 11:15:00,1013695.353316,1012276.0,1001419.353316
2021-01-14 11:20:00,1012765.353316,1011346.0,1001419.353316
2021-01-14 11:25:00,1010812.353316,1009393.0,1001419.353316
2021-01-14 11:30:00,1012765.353316,1011346.0,1001419.353316
2021-01-14 13:05:00,1014904.3533160001,1013485.0000000001,1001419.353316
2021-01-14 13:10:00,1013695.353316,1012276.0,1001419.353316
2021-01-14 13:15:00,1015462.353316,1014043.0,1001419.353316
2021-01-14 13:20:00,1011370.353316,1009951.0,1001419.353316
2021-01-14 13:25:00,1011463.353316,1010044.0,1001419.353316
2021-01-14 13:30:00,1010161.353316,1008742.0,1001419.353316
2021-01-14 13:35:00,1010719.353316,1009300.0,1001419.353316
2021-01-14 13:40:00,1009138.353316,1007719.0,1001419.353316
2021-01-14 13:45:00,1006627.353316,1005208.0,1001419.353316
2021-01-14 13:50:00,1008580.353316,1007161.0,1001419.353316
2021-01-14 13:55:00,1010719.353316,1009300.0,1001419.353316
2021-01-14 14:00:00,1010440.353316,1009021.0,1001419.353316
2021-01-14 14:05:00,1010626.353316,1009207.0,1001419.353316
2021-01-14 14:10:00,1007371.353316,1005952.0,1001419.353316
2021-01-14 14:15:00,1006999.353316,1005580.0,1001419.353316
2021-01-14 14:20:00,1005046.353316,1003627.0,1001419.353316
2021-01-14 14:25:00,1004953.353316,1003534.0,1001419.353316
2021-01-14 14:30:00,1003372.353316,1001953.0,1001419.353316
2021-01-14 14:35:00,1004860.353316,1003441.0,1001419.353316
2021-01-14 14:40:00,1005418.353316,1003999.0,1001419.353316
2021-01-14 14:45:00,1003292.7956825,1001674.0,1001618.7956825
2021-01-14 14:50:00,1004092.7956825001,1002604.0,1001488.7956825001
2021-01-14 14:55:00,1002492.7956825,1000744.0,1001748.7956825
2021-01-14 15:00:00,1003085.7980305001,1001488.0,1001597.7980305001
2021-01-15 09:35:00,1002713.7980305001,1001116.0,1001597.7980305001
2021-01-15 09:40:00,1007363.7980305001,1005766.0,1001597.7980305001
2021-01-15 09:45:00,1012013.7980305001,1010416.0,1001597.7980305001
2021-01-15 09:50:00,1015082.7980305001,1013485.0000000001,1001597.7980305
2021-01-15 09:55:00,1010990.7980305001,1009393.0,1001597.7980305001
2021-01-15 10:00:00,1012757.7980305001,1011160.0000000001,1001597.7980305
2021-01-15 10:05:00,1011083.7980305001,1009486.0,1001597.7980305001
2021-01-15 10:10:00,1011734.7980304998,1010136.9999999999,1001597.7980305
2021-01-15 10:15:00,1009316.7980305001,1007719.0,1001597.7980305001
2021-01-15 10:20:00,1006619.7980305001,1005022.0,1001597.7980305001
2021-01-15 10:25:00,1002992.7980305001,1001395.0,1001597.7980305001
2021-01-15 10:30:00,1001039.7980305001,999442.0,1001597.7980305001
2021-01-15 10:35:00,999923.7980305001,998326.0,1001597.7980305001
2021-01-15 10:40:00,1000202.7980305001,998605.0,1001597.7980305001
2021-01-15 10:45:00,998435.7980305001,996838.0,1001597.7980305001
2021-01-15 10:50:00,997412.7980305001,995815.0,1001597.7980305001
2021-01-15 10:55:00,1000202.7980305001,998605.0,1001597.7980305001
2021-01-15 11:00:00,996761.7980305001,995164.0,1001597.7980305001
2021-01-15 11:05:00,993320.7980305001,991723.0,1001597.7980305001
2021-01-15 11:10:00,992018.7980305001,990421.0,1001597.7980305001
