feature,split,mean,std,min,max,abs_mean,abs_max,nan_count
ret_1,train,4.440892098500626e-18,1.0,-6.772270941720134,7.044690864640844,4.440892098500626e-18,7.044690864640844,0
log_ret_1,train,-6.661338147750939e-18,1.0,-6.876648606824533,6.956436002598237,6.661338147750939e-18,6.956436002598237,0
ret_3,train,1.3322676295501878e-17,0.9999999999999999,-7.3598105482783325,6.525821111035846,1.3322676295501878e-17,7.3598105482783325,0
log_ret_3,train,-1.7763568394002505e-17,1.0,-7.587678360182952,6.380022353288277,1.7763568394002505e-17,7.587678360182952,0
ret_5,train,8.881784197001253e-18,1.0,-6.738538526058219,5.629867115019966,8.881784197001253e-18,6.738538526058219,0
log_ret_5,train,1.3322676295501878e-17,0.9999999999999999,-6.983106021314252,5.483249358691415,1.3322676295501878e-17,6.983106021314252,0
ret_10,train,-1.3322676295501878e-17,0.9999999999999998,-6.2221292933683685,5.000247330428047,1.3322676295501878e-17,6.2221292933683685,0
log_ret_10,train,-8.881784197001253e-18,1.0,-6.5205896507426875,4.828644378290555,8.881784197001253e-18,6.5205896507426875,0
ret_20,train,-8.881784197001253e-18,0.9999999999999998,-4.468457328112964,4.315774527657894,8.881784197001253e-18,4.468457328112964,0
log_ret_20,train,-1.7763568394002505e-17,0.9999999999999999,-4.691995608243683,4.137496383078403,1.7763568394002505e-17,4.691995608243683,0
ret_48,train,1.7763568394002505e-17,1.0,-3.1771247514156564,3.9051495058215764,1.7763568394002505e-17,3.9051495058215764,0
log_ret_48,train,8.881784197001253e-18,1.0,-3.3676018691320024,3.701411425600669,8.881784197001253e-18,3.701411425600669,0
ma_dev_5,train,2.6645352591003756e-17,1.0,-6.078844581482159,7.141312537907284,2.6645352591003756e-17,7.141312537907284,0
ma_slope_5,train,-8.881784197001253e-18,1.0,-7.024536064546441,5.605280074147087,8.881784197001253e-18,7.024536064546441,0
ma_dev_10,train,-1.7763568394002505e-17,1.0,-5.887157333305421,6.108208136619746,1.7763568394002505e-17,6.108208136619746,0
ma_slope_10,train,-2.6645352591003756e-17,1.0,-6.523360160332291,4.8277031108673425,2.6645352591003756e-17,6.523360160332291,0
ma_dev_20,train,-8.881784197001253e-18,1.0,-5.525914811007006,4.85225928661095,8.881784197001253e-18,5.525914811007006,0
ma_slope_20,train,8.881784197001253e-18,0.9999999999999998,-4.755864073392293,4.152776333926197,8.881784197001253e-18,4.755864073392293,0
ma_dev_48,train,0.0,1.0,-4.0824906808888475,4.301892135076628,0.0,4.301892135076628,0
ma_slope_48,train,0.0,1.0,-3.5011632818440743,3.7266461285693753,0.0,3.7266461285693753,0
ma_gap_5_20,train,-8.881784197001253e-18,0.9999999999999998,-5.813809498350548,5.141101119536848,8.881784197001253e-18,5.813809498350548,0
ma_gap_10_48,train,-2.6645352591003756e-17,1.0,-4.158617371402913,3.990509969225178,2.6645352591003756e-17,4.158617371402913,0
mom_3_10,train,-2.6645352591003756e-17,1.0,-5.3469673916509945,6.39394600120219,2.6645352591003756e-17,6.39394600120219,0
mom_5_20,train,-8.881784197001253e-18,1.0,-4.850082548402633,5.28285968565574,8.881784197001253e-18,5.28285968565574,0
mom_10_48,train,1.7763568394002505e-17,1.0,-3.993461863022381,3.082737465023069,1.7763568394002505e-17,3.993461863022381,0
