feature,split,mean,std,min,max,abs_mean,abs_max,nan_count
ret_1,train,1.7763568394002505e-17,1.0,-5.410280199950508,7.120446737379744,1.7763568394002505e-17,7.120446737379744,0
log_ret_1,train,-1.3322676295501878e-17,1.0,-5.470614229931987,7.044639007761274,1.3322676295501878e-17,7.044639007761274,0
ret_3,train,4.440892098500626e-18,1.0,-8.384773106767724,6.67499728393274,4.440892098500626e-18,8.384773106767724,0
log_ret_3,train,6.661338147750939e-18,0.9999999999999998,-8.634831216522693,6.532526020031716,6.661338147750939e-18,8.634831216522693,0
ret_5,train,1.3322676295501878e-17,1.0,-7.508643210570492,5.469028673948484,1.3322676295501878e-17,7.508643210570492,0
log_ret_5,train,6.661338147750939e-18,0.9999999999999999,-7.76322628299499,5.340773034416149,6.661338147750939e-18,7.76322628299499,0
ret_10,train,0.0,0.9999999999999999,-5.780495000235814,4.711338367329444,0.0,5.780495000235814,0
log_ret_10,train,-8.881784197001253e-18,1.0,-6.0074700594123565,4.580345102915022,8.881784197001253e-18,6.0074700594123565,0
ret_20,train,-8.881784197001253e-18,1.0,-4.195663469682156,4.630352483400547,8.881784197001253e-18,4.630352483400547,0
log_ret_20,train,-4.440892098500626e-18,1.0,-4.366650885954493,4.452565541896804,4.440892098500626e-18,4.452565541896804,0
ret_48,train,8.881784197001253e-18,1.0,-3.244786716230423,4.293711314116157,8.881784197001253e-18,4.293711314116157,0
log_ret_48,train,3.552713678800501e-17,1.0,-3.413439056439178,4.0769180400151575,3.552713678800501e-17,4.0769180400151575,0
ma_dev_5,train,1.3322676295501878e-17,1.0,-7.094366980361948,6.31020164802235,1.3322676295501878e-17,7.094366980361948,0
ma_slope_5,train,-1.1102230246251566e-17,1.0,-7.877642471928971,5.387679938003022,1.1102230246251566e-17,7.877642471928971,0
ma_dev_10,train,-8.881784197001253e-18,0.9999999999999999,-7.606839502558484,5.1943704274782805,8.881784197001253e-18,7.606839502558484,0
ma_slope_10,train,-2.2204460492503132e-17,1.0,-5.9924915007424095,4.588325477069981,2.2204460492503132e-17,5.9924915007424095,0
ma_dev_20,train,1.3322676295501878e-17,0.9999999999999998,-5.590423666340455,4.384798042890461,1.3322676295501878e-17,5.590423666340455,0
ma_slope_20,train,1.7763568394002505e-17,1.0,-4.299851947482505,4.426880065330784,1.7763568394002505e-17,4.426880065330784,0
ma_dev_48,train,1.3322676295501878e-17,1.0,-4.25885678302099,4.292512537780302,1.3322676295501878e-17,4.292512537780302,0
ma_slope_48,train,8.881784197001253e-18,0.9999999999999999,-3.351130027696745,3.990430055875288,8.881784197001253e-18,3.990430055875288,0
ma_gap_5_20,train,1.7763568394002505e-17,1.0,-5.69596149979471,4.332459671009066,1.7763568394002505e-17,5.69596149979471,0
ma_gap_10_48,train,-2.2204460492503132e-17,1.0,-4.16093549303613,4.114198917372655,2.2204460492503132e-17,4.16093549303613,0
mom_3_10,train,-6.661338147750939e-18,1.0,-5.012363407398183,6.7645856362466095,6.661338147750939e-18,6.7645856362466095,0
mom_5_20,train,4.440892098500626e-18,0.9999999999999999,-4.567167439973933,4.765701524966532,4.440892098500626e-18,4.765701524966532,0
mom_10_48,train,4.4408920985006264e-17,0.9999999999999999,-4.508401376614321,3.2142246721345065,4.4408920985006264e-17,4.508401376614321,0
ret_recent_3,train,-8.881784197001253e-18,1.0,-8.38477310676801,6.674997283932688,8.881784197001253e-18,8.38477310676801,0
ret_prev_3,train,-4.440892098500626e-18,1.0,-8.383778765568486,6.674098753205101,4.440892098500626e-18,8.383778765568486,0
ret_prev_6,train,6.661338147750939e-18,0.9999999999999999,-7.271886752813746,5.3731103298765674,6.661338147750939e-18,7.271886752813746,0
mom_change_3,train,-8.326672684688674e-19,0.9999999999999999,-6.092702744431029,6.396604402130893,8.326672684688674e-19,6.396604402130893,0
