,equity,benchmark_equity,alpha_equity
2021-01-12 14:25:00,999060.0,999060.0,1000000.0
2021-01-12 14:30:00,999060.0,999060.0,1000000.0
2021-01-12 14:35:00,1001316.0,1001316.0,1000000.0
2021-01-12 14:40:00,1000846.0,1000846.0,1000000.0
2021-01-12 14:45:00,1001974.0,1001974.0,1000000.0
2021-01-12 14:50:00,1004888.0,1004888.0,1000000.0
2021-01-12 14:55:00,1005452.0,1005452.0,1000000.0
2021-01-12 15:00:00,1005264.0,1005264.0,1000000.0
2021-01-13 09:35:00,1009588.0,1009588.0,1000000.0
2021-01-13 09:40:00,1002538.0,1002538.0,1000000.0
2021-01-13 09:45:00,996992.0,996992.0,1000000.0
2021-01-13 09:50:00,1000940.0,1000940.0,1000000.0
2021-01-13 09:55:00,997368.0,997368.0,1000000.0
2021-01-13 10:00:00,995488.0,995488.0,1000000.0
2021-01-13 10:05:00,998402.0,998402.0,1000000.0
2021-01-13 10:10:00,997556.0,997556.0,1000000.0
2021-01-13 10:15:00,1002068.0,1002068.0,1000000.0
2021-01-13 10:20:00,1000470.0,1000470.0,1000000.0
2021-01-13 10:25:00,999718.0,999718.0,1000000.0
2021-01-13 10:30:00,998120.0,998120.0,1000000.0
2021-01-13 10:35:00,997274.0,997274.0,1000000.0
2021-01-13 10:40:00,996334.0,996334.0,1000000.0
2021-01-13 10:45:00,997650.0,997650.0,1000000.0
2021-01-13 10:50:00,999718.0,999718.0,1000000.0
2021-01-13 10:55:00,1003666.0,1003666.0,1000000.0
2021-01-13 11:00:00,1003478.0,1003478.0,1000000.0
2021-01-13 11:05:00,1006016.0,1006016.0,1000000.0
2021-01-13 11:10:00,1006674.0,1006674.0,1000000.0
2021-01-13 11:15:00,1009024.0,1009024.0,1000000.0
2021-01-13 11:20:00,1006674.0,1006674.0,1000000.0
2021-01-13 11:25:00,1002914.0,1002914.0,1000000.0
2021-01-13 11:30:00,1001880.0,1001880.0,1000000.0
2021-01-13 13:05:00,1001128.0,1001128.0,1000000.0
2021-01-13 13:10:00,1002162.0,1002162.0,1000000.0
2021-01-13 13:15:00,1003008.0,1003008.0,1000000.0
2021-01-13 13:20:00,1000940.0,1000940.0,1000000.0
2021-01-13 13:25:00,996428.0,996428.0,1000000.0
2021-01-13 13:30:00,994870.45322,994454.0,1000416.45322
2021-01-13 13:35:00,994928.45322,994548.0,1000380.45322
2021-01-13 13:40:00,994812.45322,994360.0,1000452.45322
2021-01-13 13:45:00,994638.45322,994078.0,1000560.45322
2021-01-13 13:50:00,990402.2465220001,990036.0,1000366.2465220001
2021-01-13 13:55:00,992658.2465220001,992292.0,1000366.2465220001
2021-01-13 14:00:00,995666.2465220001,995300.0,1000366.2465220001
2021-01-13 14:05:00,996418.2465220001,996052.0,1000366.2465220001
2021-01-13 14:10:00,995196.2465220001,994830.0,1000366.2465220001
2021-01-13 14:15:00,996418.2465220001,996052.0,1000366.2465220001
2021-01-13 14:20:00,995102.2465220001,994736.0,1000366.2465220001
2021-01-13 14:25:00,993034.2465220001,992668.0,1000366.2465220001
2021-01-13 14:30:00,995102.2465220001,994736.0,1000366.2465220001
2021-01-13 14:35:00,992564.2465220001,992198.0,1000366.2465220001
2021-01-13 14:40:00,992846.2465220001,992480.0,1000366.2465220001
2021-01-13 14:45:00,993128.2465220001,992762.0,1000366.2465220001
2021-01-13 14:50:00,993222.2465220001,992856.0,1000366.2465220001
2021-01-13 14:55:00,994256.2465220001,993890.0,1000366.2465220001
2021-01-13 15:00:00,994538.2465220001,994172.0,1000366.2465220001
2021-01-14 09:35:00,1001494.2465220001,1001128.0,1000366.2465220001
2021-01-14 09:40:00,1005254.2465220001,1004888.0,1000366.2465220001
2021-01-14 09:45:00,1000836.2465220001,1000470.0,1000366.2465220001
2021-01-14 09:50:00,997452.2465220001,997086.0,1000366.2465220001
2021-01-14 09:55:00,996418.2465220001,996052.0,1000366.2465220001
2021-01-14 10:00:00,996136.2465220001,995770.0,1000366.2465220001
2021-01-14 10:05:00,990402.2465220001,990036.0,1000366.2465220001
2021-01-14 10:10:00,989556.2465220001,989190.0,1000366.2465220001
2021-01-14 10:15:00,993034.2465220001,992668.0,1000366.2465220001
2021-01-14 10:20:00,991530.2465220001,991164.0,1000366.2465220001
2021-01-14 10:25:00,991906.2465220001,991540.0,1000366.2465220001
2021-01-14 10:30:00,993222.2465220001,992856.0,1000366.2465220001
2021-01-14 10:35:00,997264.2465220001,996898.0,1000366.2465220001
2021-01-14 10:40:00,998768.2465220001,998402.0,1000366.2465220001
2021-01-14 10:45:00,1001776.2465220001,1001410.0,1000366.2465220001
2021-01-14 10:50:00,1001212.2465220001,1000846.0,1000366.2465220001
2021-01-14 10:55:00,1003374.2465220001,1003008.0,1000366.2465220001
2021-01-14 11:00:00,1004690.2465220001,1004324.0,1000366.2465220001
2021-01-14 11:05:00,1006288.2465220001,1005922.0,1000366.2465220001
2021-01-14 11:10:00,1015688.2465220001,1015322.0,1000366.2465220001
2021-01-14 11:15:00,1019354.2465220001,1018988.0,1000366.2465220001
2021-01-14 11:20:00,1018414.2465220001,1018048.0,1000366.2465220001
2021-01-14 11:25:00,1016440.2465220001,1016074.0,1000366.2465220001
2021-01-14 11:30:00,1018414.2465220001,1018048.0,1000366.2465220001
2021-01-14 13:05:00,1020576.2465220002,1020210.0000000001,1000366.2465220001
2021-01-14 13:10:00,1019354.2465220001,1018988.0,1000366.2465220001
2021-01-14 13:15:00,1021140.2465220001,1020774.0,1000366.2465220001
2021-01-14 13:20:00,1017004.2465220001,1016638.0,1000366.2465220001
2021-01-14 13:25:00,1017098.2465220001,1016732.0,1000366.2465220001
2021-01-14 13:30:00,1015782.2465220001,1015416.0,1000366.2465220001
2021-01-14 13:35:00,1016346.2465220001,1015980.0,1000366.2465220001
2021-01-14 13:40:00,1014748.2465220001,1014382.0,1000366.2465220001
2021-01-14 13:45:00,1012210.2465220002,1011844.0000000001,1000366.2465220001
2021-01-14 13:50:00,1014184.2465220001,1013818.0,1000366.2465220001
2021-01-14 13:55:00,1016346.2465220001,1015980.0,1000366.2465220001
2021-01-14 14:00:00,1016064.2465220001,1015698.0,1000366.2465220001
2021-01-14 14:05:00,1016252.2465220001,1015886.0,1000366.2465220001
2021-01-14 14:10:00,1012962.2465220001,1012596.0,1000366.2465220001
2021-01-14 14:15:00,1012586.2465220001,1012220.0,1000366.2465220001
2021-01-14 14:20:00,1010612.2465220001,1010246.0,1000366.2465220001
2021-01-14 14:25:00,1010518.2465220001,1010152.0,1000366.2465220001
2021-01-14 14:30:00,1008920.2465220001,1008554.0,1000366.2465220001
2021-01-14 14:35:00,1010424.2465220001,1010058.0,1000366.2465220001
2021-01-14 14:40:00,1010988.2465220001,1010622.0,1000366.2465220001
2021-01-14 14:45:00,1008638.2465220001,1008272.0,1000366.2465220001
2021-01-14 14:50:00,1009578.2465220001,1009212.0,1000366.2465220001
2021-01-14 14:55:00,1007698.2465220001,1007332.0,1000366.2465220001
2021-01-14 15:00:00,1008450.2465220001,1008084.0,1000366.2465220001
2021-01-15 09:35:00,1008074.2465220001,1007708.0,1000366.2465220001
2021-01-15 09:40:00,1012774.2465220001,1012408.0,1000366.2465220001
2021-01-15 09:45:00,1017474.2465220001,1017108.0,1000366.2465220001
2021-01-15 09:50:00,1020576.2465220002,1020210.0000000001,1000366.2465220001
2021-01-15 09:55:00,1016440.2465220001,1016074.0,1000366.2465220001
2021-01-15 10:00:00,1018226.2465220002,1017860.0000000001,1000366.2465220001
2021-01-15 10:05:00,1016534.2465220001,1016168.0,1000366.2465220001
2021-01-15 10:10:00,1017192.246522,1016825.9999999999,1000366.2465220001
2021-01-15 10:15:00,1014748.2465220001,1014382.0,1000366.2465220001
2021-01-15 10:20:00,1012022.2465220001,1011656.0,1000366.2465220001
2021-01-15 10:25:00,1008356.2465220001,1007990.0,1000366.2465220001
2021-01-15 10:30:00,1006382.2465220001,1006016.0,1000366.2465220001
2021-01-15 10:35:00,1005254.2465220001,1004888.0,1000366.2465220001
2021-01-15 10:40:00,1005536.2465220001,1005170.0,1000366.2465220001
2021-01-15 10:45:00,1003750.2465220001,1003384.0,1000366.2465220001
2021-01-15 10:50:00,1002716.2465220001,1002350.0,1000366.2465220001
2021-01-15 10:55:00,1005536.2465220001,1005170.0,1000366.2465220001
2021-01-15 11:00:00,1002058.2465220001,1001692.0,1000366.2465220001
2021-01-15 11:05:00,998580.2465220001,998214.0,1000366.2465220001
2021-01-15 11:10:00,997264.2465220001,996898.0,1000366.2465220001
2021-01-15 11:15:00,994162.2465220001,993796.0,1000366.2465220001
2021-01-15 11:20:00,992094.2465220001,991728.0,1000366.2465220001
2021-01-15 11:25:00,995196.2465220001,994830.0,1000366.2465220001
2021-01-15 11:30:00,990496.2465220001,990130.0,1000366.2465220001
2021-01-15 13:05:00,988146.2465220001,987780.0,1000366.2465220001
2021-01-15 13:10:00,987112.2465220001,986746.0,1000366.2465220001
2021-01-15 13:15:00,989086.2465220001,988720.0,1000366.2465220001
2021-01-15 13:20:00,988052.2465220001,987686.0,1000366.2465220001
2021-01-15 13:25:00,990120.2465220001,989754.0,1000366.2465220001
2021-01-15 13:30:00,987394.2465220001,987028.0,1000366.2465220001
2021-01-15 13:35:00,987770.2465220001,987404.0,1000366.2465220001
2021-01-15 13:40:00,989274.2465220001,988908.0,1000366.2465220001
2021-01-15 13:45:00,991624.2465220001,991258.0,1000366.2465220001
2021-01-15 13:50:00,989650.2465220001,989284.0,1000366.2465220001
2021-01-15 13:55:00,989368.2465220001,989002.0,1000366.2465220001
2021-01-15 14:00:00,991812.2465220001,991446.0,1000366.2465220001
2021-01-15 14:05:00,992658.2465220001,992292.0,1000366.2465220001
2021-01-15 14:10:00,994538.2465220001,994172.0,1000366.2465220001
2021-01-15 14:15:00,992564.2465220001,992198.0,1000366.2465220001
2021-01-15 14:20:00,992470.2465220001,992104.0,1000366.2465220001
2021-01-15 14:25:00,995666.2465220001,995300.0,1000366.2465220001
2021-01-15 14:30:00,993692.2465220001,993326.0,1000366.2465220001
2021-01-15 14:35:00,995196.2465220001,994830.0,1000366.2465220001
2021-01-15 14:40:00,989180.2465220001,988814.0,1000366.2465220001
2021-01-15 14:45:00,989180.2465220001,988814.0,1000366.2465220001
2021-01-15 14:50:00,986266.2465220001,985900.0,1000366.2465220001
2021-01-15 14:55:00,985420.2465220001,985054.0,1000366.2465220001
2021-01-15 15:00:00,984574.2465220001,984208.0,1000366.2465220001
2021-01-18 09:35:00,975174.2465220001,974808.0,1000366.2465220001
2021-01-18 09:40:00,982318.2465220001,981952.0,1000366.2465220001
2021-01-18 09:45:00,977994.2465220001,977628.0,1000366.2465220001
2021-01-18 09:50:00,979404.2465220001,979038.0,1000366.2465220001
2021-01-18 09:55:00,983634.2465220001,983268.0,1000366.2465220001
2021-01-18 10:00:00,983916.2465220001,983550.0,1000366.2465220001
2021-01-18 10:05:00,981284.2465220001,980918.0,1000366.2465220001
2021-01-18 10:10:00,979028.2465220001,978662.0,1000366.2465220001
2021-01-18 10:15:00,978088.2465220001,977722.0,1000366.2465220001
2021-01-18 10:20:00,978840.2465220001,978474.0,1000366.2465220001
2021-01-18 10:25:00,977242.2465220001,976876.0,1000366.2465220001
