scenario,risk_profile,lookback,horizon,tp,sl,returncode,output_dir,status,live_status,executed_fold_count,total_trades,mean_alpha_total_return,median_alpha_total_return,mean_test_sell_auc,median_test_sell_auc,mean_test_buy_auc,median_test_buy_auc,stress_min_alpha_total_return,stress_worst_alpha_drawdown,quality_all_passed,positive_alpha_folds,zero_trade_folds,stop_loss_cooldown_bars,daily_max_losses
lb8_h3_tp0p003_sl0p002_base,base,8,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb8_h3_tp0p003_sl0p002_base,COMPLETED,FAIL,3,45,-0.007305296659999609,-0.006859570603499621,0.5107899542650595,0.5186295917521214,0.5146199502374667,0.5119135988775685,-0.014997425854999524,-0.014997425854999524,False,0,0,,
lb8_h3_tp0p003_sl0p002_cool6_loss2,cool6_loss2,8,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb8_h3_tp0p003_sl0p002_cool6_loss2,COMPLETED,FAIL,3,29,-0.003768324920999877,-0.003701451320999971,0.5117042648607533,0.5069074336429122,0.5216560136223358,0.5283381324893345,-0.007816822084499742,-0.007816822084499742,False,0,0,6.0,2.0
lb16_h3_tp0p003_sl0p002_base,base,16,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb16_h3_tp0p003_sl0p002_base,COMPLETED,FAIL,3,39,-0.009530931540499887,-0.008633847113999726,0.5055911558884179,0.4993732394366197,0.5189439508638678,0.5254303599374022,-0.018108536479000015,-0.019134434635037945,False,0,0,,
lb16_h3_tp0p003_sl0p002_cool6_loss2,cool6_loss2,16,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb16_h3_tp0p003_sl0p002_cool6_loss2,COMPLETED,FAIL,3,17,-0.0070248692734998786,-0.005647464973499994,0.5111414186308634,0.5032816901408451,0.5303984112720949,0.5287314811704236,-0.019947212569499606,-0.02120650897324694,False,0,0,6.0,2.0
lb24_h3_tp0p003_sl0p002_base,base,24,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb24_h3_tp0p003_sl0p002_base,COMPLETED,FAIL,3,30,-0.0013035481209998645,-7.811561100001807e-05,0.518769864674827,0.5149812068806264,0.5301012147482391,0.5230526883057662,-0.011409687737499619,-0.012558078218078084,False,1,0,,
lb24_h3_tp0p003_sl0p002_cool6_loss2,cool6_loss2,24,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb24_h3_tp0p003_sl0p002_cool6_loss2,COMPLETED,FAIL,3,28,-0.0056632939154997635,-0.006502513919999786,0.49890750201525275,0.4910155606046488,0.5288863646889367,0.5288301997094198,-0.011145116628999863,-0.011749992859076852,False,0,0,6.0,2.0
lb32_h3_tp0p003_sl0p002_base,base,32,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb32_h3_tp0p003_sl0p002_base,COMPLETED,FAIL,3,26,-0.0014906157619998621,-0.0008465480669997971,0.5074829461459937,0.5090610083831375,0.5095341680841762,0.511844790617169,-0.006377364826500198,-0.007115026660758916,False,1,0,,
lb32_h3_tp0p003_sl0p002_cool6_loss2,cool6_loss2,32,3,0.003,0.002,0,output\diagnostics\lstm_param_experiments\lb32_h3_tp0p003_sl0p002_cool6_loss2,COMPLETED,FAIL,3,25,-0.004075688746499921,-0.004237322527499865,0.52515617688377,0.5293865885152191,0.52540350660605,0.5230480422296279,-0.009121972849625348,-0.00937970682171041,False,0,0,6.0,2.0
lb16_h6_tp0p004_sl0p002_base,base,16,6,0.004,0.002,0,output\diagnostics\lstm_param_experiments\lb16_h6_tp0p004_sl0p002_base,COMPLETED,FAIL,3,20,-0.003340825354999873,-0.0016448061329999986,0.5479818711116488,0.5422602681040325,0.48936711721280696,0.4928794045716607,-0.01214652700425034,-0.012240459751750365,False,1,0,,
lb16_h6_tp0p004_sl0p002_cool6_loss2,cool6_loss2,16,6,0.004,0.002,0,output\diagnostics\lstm_param_experiments\lb16_h6_tp0p004_sl0p002_cool6_loss2,COMPLETED,FAIL,3,23,-0.0037342476610000563,-0.002858946430499998,0.5298491339272738,0.5337311014698207,0.4878761036511423,0.49803178944969007,-0.012536650958875462,-0.01541024909121902,False,1,0,6.0,2.0
lb24_h6_tp0p004_sl0p003_base,base,24,6,0.004,0.003,0,output\diagnostics\lstm_param_experiments\lb24_h6_tp0p004_sl0p003_base,COMPLETED,FAIL,3,30,-0.003276623350499682,-0.002907204298499555,0.5300978985604764,0.5128079887116032,0.48696428216523224,0.4966099094953214,-0.008821952276499734,-0.009068007112249976,False,0,0,,
lb24_h6_tp0p004_sl0p003_cool6_loss2,cool6_loss2,24,6,0.004,0.003,0,output\diagnostics\lstm_param_experiments\lb24_h6_tp0p004_sl0p003_cool6_loss2,COMPLETED,FAIL,3,14,-0.0015055128974998944,-0.0020669280389998823,0.536285550659456,0.5537691305763595,0.5024993350135332,0.5079690136524008,-0.004825482741499965,-0.006168059546532656,False,0,0,6.0,2.0
