lookback,horizon,target_col,sequence_mode,lookback_minutes,horizon_minutes,status
8,1,label,continuous,40,5,pending
8,1,label,intraday_only,40,5,pending
8,1,label_cost_adjusted,continuous,40,5,pending
8,1,label_cost_adjusted,intraday_only,40,5,pending
8,1,label_dynamic_binary,continuous,40,5,pending
8,1,label_dynamic_binary,intraday_only,40,5,pending
8,3,label,continuous,40,15,pending
8,3,label,intraday_only,40,15,pending
8,3,label_cost_adjusted,continuous,40,15,pending
8,3,label_cost_adjusted,intraday_only,40,15,pending
8,3,label_dynamic_binary,continuous,40,15,pending
8,3,label_dynamic_binary,intraday_only,40,15,pending
8,6,label,continuous,40,30,pending
8,6,label,intraday_only,40,30,pending
8,6,label_cost_adjusted,continuous,40,30,pending
8,6,label_cost_adjusted,intraday_only,40,30,pending
8,6,label_dynamic_binary,continuous,40,30,pending
8,6,label_dynamic_binary,intraday_only,40,30,pending
16,1,label,continuous,80,5,pending
16,1,label,intraday_only,80,5,pending
16,1,label_cost_adjusted,continuous,80,5,pending
16,1,label_cost_adjusted,intraday_only,80,5,pending
16,1,label_dynamic_binary,continuous,80,5,pending
16,1,label_dynamic_binary,intraday_only,80,5,pending
16,3,label,continuous,80,15,pending
16,3,label,intraday_only,80,15,pending
16,3,label_cost_adjusted,continuous,80,15,pending
16,3,label_cost_adjusted,intraday_only,80,15,pending
16,3,label_dynamic_binary,continuous,80,15,pending
16,3,label_dynamic_binary,intraday_only,80,15,pending
16,6,label,continuous,80,30,pending
16,6,label,intraday_only,80,30,pending
16,6,label_cost_adjusted,continuous,80,30,pending
16,6,label_cost_adjusted,intraday_only,80,30,pending
16,6,label_dynamic_binary,continuous,80,30,pending
16,6,label_dynamic_binary,intraday_only,80,30,pending
24,1,label,continuous,120,5,pending
24,1,label,intraday_only,120,5,pending
24,1,label_cost_adjusted,continuous,120,5,pending
24,1,label_cost_adjusted,intraday_only,120,5,pending
24,1,label_dynamic_binary,continuous,120,5,pending
24,1,label_dynamic_binary,intraday_only,120,5,pending
24,3,label,continuous,120,15,pending
24,3,label,intraday_only,120,15,pending
24,3,label_cost_adjusted,continuous,120,15,pending
24,3,label_cost_adjusted,intraday_only,120,15,pending
24,3,label_dynamic_binary,continuous,120,15,pending
24,3,label_dynamic_binary,intraday_only,120,15,pending
24,6,label,continuous,120,30,pending
24,6,label,intraday_only,120,30,pending
24,6,label_cost_adjusted,continuous,120,30,pending
24,6,label_cost_adjusted,intraday_only,120,30,pending
24,6,label_dynamic_binary,continuous,120,30,pending
24,6,label_dynamic_binary,intraday_only,120,30,pending
32,1,label,continuous,160,5,pending
32,1,label,intraday_only,160,5,pending
32,1,label_cost_adjusted,continuous,160,5,pending
32,1,label_cost_adjusted,intraday_only,160,5,pending
32,1,label_dynamic_binary,continuous,160,5,pending
32,1,label_dynamic_binary,intraday_only,160,5,pending
32,3,label,continuous,160,15,pending
32,3,label,intraday_only,160,15,pending
32,3,label_cost_adjusted,continuous,160,15,pending
32,3,label_cost_adjusted,intraday_only,160,15,pending
32,3,label_dynamic_binary,continuous,160,15,pending
32,3,label_dynamic_binary,intraday_only,160,15,pending
32,6,label,continuous,160,30,pending
32,6,label,intraday_only,160,30,pending
32,6,label_cost_adjusted,continuous,160,30,pending
32,6,label_cost_adjusted,intraday_only,160,30,pending
32,6,label_dynamic_binary,continuous,160,30,pending
32,6,label_dynamic_binary,intraday_only,160,30,pending
