lookback,lookback_minutes,horizon,horizon_minutes,valid_auc,test_auc,train_positive_rate,valid_positive_rate,test_positive_rate,selected_quantile,selected_threshold,trade_count,win_rate,gross_return_mean,net_return_mean,total_return,max_drawdown,per_trade_sharpe,trades_per_year,bar_annualized_sharpe,sharpe,test_trade_return_mean_all,seed
12,60,12,60,0.5637374468041956,0.5140988085292114,0.3599594697289538,0.3589035693157168,0.39469532636560833,0.95,0.4721840873360634,49,0.42857142857142855,0.0023434138891931266,-0.000656586110806874,-0.044396998186273184,-0.08670626217945243,-0.027798243344816734,63.89101952277657,-2.9960265253828506,-0.2221965244720585,0.0006739980318219554,42
6,30,9,45,0.5754819052878143,0.5243413174388394,0.3470662726888983,0.344402837997635,0.3862449502414031,0.95,0.5024745911359787,65,0.4307692307692308,0.002334264648445519,-0.0006657353515544819,-0.05524677092139518,-0.1911166799935995,-0.03219866779536524,81.83208664951229,-3.4702934858253287,-0.2912726560572285,0.0005027183947609725,42
16,80,9,45,0.5729261840908616,0.5231051320672988,0.3470128773485328,0.34474255277174987,0.3866258999901371,0.95,0.5121064573526383,60,0.43333333333333335,0.0010359554704852817,-0.001964044529514719,-0.12171517076199223,-0.22712224634361822,-0.09761343381439659,78.27950587885101,-10.5205366149932,-0.8636417491499194,0.0005112161433281544,42
32,160,9,45,0.5728850986839048,0.522266015601978,0.34691895088060143,0.3444971349535665,0.38644670552207844,0.95,0.5197072476148604,69,0.42028985507246375,0.0009606823116227036,-0.0020393176883772967,-0.1428508964741827,-0.2365694318652204,-0.1026980864091385,90.01919880937616,-11.068548007556391,-0.9743835043518504,0.0005045056858486609,42
24,120,9,45,0.5725880396795227,0.5280217840951207,0.34696592204721083,0.34481737413622904,0.38653637350705755,0.95,0.49403302371501917,86,0.4069767441860465,0.0009172523440496908,-0.00208274765595031,-0.17583100482802716,-0.27816427931692556,-0.11397438993297164,107.96004534876784,-12.28388035955451,-1.184237489344704,0.0005102722374670494,42
32,160,3,15,0.6147523945491753,0.566753190008712,0.27648971662654676,0.29260100760644076,0.32793362307388385,0.95,0.5200428187847137,184,0.3532608695652174,0.0006276715766532076,-0.0023723284233467925,-0.36334578493988123,-0.3961428839503791,-0.18838734645849303,210.65877231171092,-20.303926404089662,-2.734270666322288,0.0001823056603399879,42
12,60,3,15,0.6156014209641518,0.5699814233925968,0.27658406855502554,0.29261559696342304,0.3281742902208202,0.95,0.5190039873123169,170,0.3411764705882353,0.0005978182953476714,-0.002402181704652329,-0.34518029835376196,-0.3911619253441183,-0.1831899298027044,197.0343437014511,-19.743761577447373,-2.571417303728824,0.00018560163781411308,42
24,120,3,15,0.6168578899954957,0.5702309321121225,0.27650635476924373,0.29296219524232553,0.3281681800236873,0.95,0.5029648542404175,179,0.3240223463687151,0.00021291536508389242,-0.002787084634916108,-0.401563202057728,-0.4417856657396385,-0.22347718502325375,203.0405124168347,-24.085823188262815,-3.1843774705739,0.00018592244793410836,42
16,80,1,5,0.6712530013324506,0.6204860132615002,0.1969773725092874,0.22773449058092515,0.2504930966469428,0.95,0.5127689182758332,344,0.2441860465116279,0.00014944021754432883,-0.0028505597824556713,-0.6282438721329883,-0.627519015239071,-0.4310195795252026,387.7838289664041,-46.45423371537089,-8.487735672282197,7.939584201579466e-05,42
6,30,12,60,0.568429758497753,0.5246344940237052,0.359956097766896,0.3588884509262909,0.3944619629483642,0.95,0.4365411877632141,79,0.4050632911392405,8.931530957243359e-05,-0.002910684690427567,-0.2169258446918595,-0.29757616186825286,-0.15178137987831114,92.74430543620191,-16.358625058925607,-1.461713046737328,0.0006661114750419357,42
6,30,1,5,0.6717807039446355,0.6222634818675393,0.19702021694171273,0.2275100995171938,0.2503448275862069,0.95,0.5299513339996338,308,0.237012987012987,-5.5895189892180515e-06,-0.003005589518989218,-0.6073789850626277,-0.6084397976508007,-0.4219982226846433,341.9253443090074,-45.48193398930567,-7.803263426956049,7.923775727871757e-05,42
12,60,1,5,0.6698583911972477,0.6153851371221943,0.19698184888138456,0.22764468106083013,0.2503943217665615,0.95,0.5257501542568207,325,0.27692307692307694,-5.897874144728404e-06,-0.0030058978741447284,-0.6268679482209111,-0.6273934313106557,-0.44523933879907335,368.5694880170769,-47.98680451276336,-8.547777695305198,7.931817234798281e-05,42
32,160,2,10,0.639270881988208,0.5839453783497077,0.25074431470259084,0.2680035562580263,0.30333860134334256,0.95,0.538440716266632,214,0.29906542056074764,-8.71386002887482e-05,-0.003087138600288748,-0.48859677893006437,-0.48899288079334147,-0.3382140089934495,245.01331127485662,-36.45187681938141,-5.29403041643092,0.00012889927880097225,42
16,80,3,15,0.6148866860794883,0.5667284368813211,0.27658631316756027,0.29273103856396093,0.32830374753451674,0.95,0.5155209064483642,175,0.32,-0.0001573681152507765,-0.0031573681152507766,-0.4318061529784336,-0.4699385352667289,-0.2703596263028301,202.82723666813575,-29.13869778562492,-3.8503922488442335,0.00018627609358163466,42
32,160,1,5,0.6714598215697798,0.6200492299396856,0.19691722972972972,0.22769929862688926,0.2504938759383643,0.95,0.5058361411094665,348,0.2557471264367816,-0.0002346946352891854,-0.0032346946352891856,-0.6784662050406012,-0.6796089417944924,-0.5056923673466596,398.4241883346575,-54.50228374005297,-10.093905789176247,7.80913871127364e-05,42
24,120,1,5,0.6714519256310161,0.6146006303346364,0.19694730619827733,0.22781561543776527,0.25049348598499804,0.95,0.5195572972297668,259,0.2625482625482625,-0.00029483553886387455,-0.003294835538863875,-0.5774004717346222,-0.5768620238630231,-0.46364847439747786,307.06934911242604,-49.9708960209224,-8.124695050912088,7.931823905501869e-05,42
6,30,6,30,0.586460039312819,0.5245327830026825,0.32185218015280065,0.32761848457976156,0.3637796827273623,0.95,0.48161445260047914,121,0.36363636363636365,-0.00035640169670131806,-0.0033564016967013188,-0.3413924628873233,-0.36550343760155357,-0.25060974547574816,145.31769971115096,-27.010104043311316,-3.0210451278524326,0.00034194013688440013,42
12,60,2,10,0.6396430580021455,0.5843388910844164,0.2508284260959497,0.26796805678793256,0.3032334384858044,0.95,0.5253013610839844,220,0.2863636363636364,-0.000419198871129416,-0.0034191988711294165,-0.5337443884309674,-0.5295110734179728,-0.36761634838664,248.00394367404678,-39.62078888470921,-5.789274073336696,0.00013218118907045858,42
24,120,2,10,0.640176564168159,0.5843137620013594,0.2507864124812633,0.2681867535287731,0.3033951835767864,0.95,0.5280200839042664,191,0.31413612565445026,-0.00044217619240615765,-0.003442176192406158,-0.48656616657934926,-0.4988292423046329,-0.37493357369809227,216.56342764753438,-40.409421491934786,-5.517557778382596,0.00013213940143282608,42
6,30,3,15,0.6137359492846695,0.5698374327406586,0.27659125443187577,0.2925411370578382,0.32807881773399017,0.95,0.5163920640945434,170,0.3058823529411765,-0.00047153846209082255,-0.003471538462090823,-0.45325208895971236,-0.4765081133710154,-0.2850778471470152,194.63038746190682,-30.724991549178274,-3.9771209072277975,0.00018418526651994239,42
16,80,12,60,0.5615640611312356,0.5299767635561023,0.3599265326802905,0.3590451765634247,0.39485105543499704,0.95,0.43742504715919495,80,0.3875,-0.0006659465895096667,-0.003665946589509668,-0.2612590356934579,-0.28522152216593055,-0.2441685737285103,93.65593073207648,-26.315890341751302,-2.362965649996219,0.0006773259299168452,42
