label_col,split,class,class_name,count,ratio
label_t0_action,all,0,sell,22742,0.3359033439678601
label_t0_action,all,1,hold,25550,0.37737799834574026
label_t0_action,all,2,buy,19412,0.28671865768639965
label_t0_action,train,0,sell,15381,0.32454844699527347
label_t0_action,train,1,hold,18903,0.39886478730587444
label_t0_action,train,2,buy,13108,0.2765867656988521
label_t0_action,valid,0,sell,3598,0.354273335959039
label_t0_action,valid,1,hold,3586,0.3530917684127609
label_t0_action,valid,2,buy,2972,0.29263489562820005
label_t0_action,test,0,sell,3763,0.37051988972036237
label_t0_action,test,1,hold,3061,0.3013981882630957
label_t0_action,test,2,buy,3332,0.32808192201654196
