split,side,reason,count,ratio
all,buy,stop_loss,34347,0.5072962514400496
all,buy,timeout_loss,16442,0.24284406108764364
all,buy,take_profit,11710,0.17295365255664194
all,buy,timeout_win,5207,0.07690603491566479
all,sell,stop_loss,32523,0.4803562461229433
all,sell,timeout_loss,15674,0.23150090095412518
all,sell,take_profit,11570,0.17088588899063598
all,sell,timeout_win,7939,0.11725696393229551
train,buy,stop_loss,23317,0.4919821074397603
train,buy,timeout_loss,12570,0.26522344600582354
train,buy,take_profit,7577,0.1598725577077267
train,buy,timeout_win,3930,0.08292188884668945
train,sell,stop_loss,21869,0.46142971684179435
train,sell,timeout_loss,11997,0.2531333080136726
train,sell,take_profit,7648,0.16137063763345572
train,sell,timeout_win,5880,0.12406633751107735
valid,buy,stop_loss,5294,0.5212682158330051
valid,buy,timeout_loss,2312,0.22764868058290666
valid,buy,take_profit,1921,0.1891492713666798
valid,buy,timeout_win,629,0.061933832217408426
valid,sell,stop_loss,5067,0.4989168964159118
valid,sell,timeout_loss,2141,0.21081134304844426
valid,sell,take_profit,1926,0.189641591177629
valid,sell,timeout_win,1022,0.10063016935801497
test,buy,stop_loss,5736,0.5647892871209137
test,buy,take_profit,2212,0.2178022843639228
test,buy,timeout_loss,1560,0.15360378101614808
test,buy,timeout_win,648,0.06380464749901536
test,sell,stop_loss,5587,0.5501181567546278
test,sell,take_profit,1996,0.19653406853091768
test,sell,timeout_loss,1536,0.15124064592359196
test,sell,timeout_win,1037,0.10210712879086255
