split,side,label_col,class,count,ratio,gross_return_mean,gross_return_median,gross_return_std
all,buy,buy_label,0,50789,0.7501403125276933,-0.0013586025787352596,-0.0020000000000000018,0.0010457805996703132
all,buy,buy_label,1,16917,0.24985968747230675,0.0038755591177839356,0.0044999999999999485,0.0010187629788221725
all,sell,sell_label,0,48197,0.7118571470770685,-0.0012961260002264145,-0.001996007984031878,0.0011123131597065724
all,sell,sell_label,1,19509,0.2881428529229315,0.0037103831645409866,0.004520341536915939,0.0010825695180947037
train,buy,buy_label,0,35887,0.7572055534455838,-0.001302322420304297,-0.0020000000000000018,0.0010745544788334873
train,buy,buy_label,1,11507,0.24279444655441618,0.0038063245915808805,0.0044999999999999485,0.0010514475659197811
train,sell,sell_label,0,33866,0.714563024855467,-0.0012354268860908864,-0.001996007984031878,0.0011376362403357565
train,sell,sell_label,1,13528,0.2854369751445331,0.0036559790863540816,0.004520341536915939,0.0010961065123965418
valid,buy,buy_label,0,7606,0.7489168964159117,-0.0014158756073572797,-0.0020000000000000018,0.0009983655323995999
valid,buy,buy_label,1,2550,0.2510831035840882,0.0039923419899339984,0.0044999999999999485,0.0009562372132249941
valid,sell,sell_label,0,7208,0.709728239464356,-0.0013527275905890529,-0.001996007984031878,0.0010827682340035696
valid,sell,sell_label,1,2948,0.29027176053564396,0.0038104283448219334,0.004520341536915939,0.0010606289982216925
test,buy,buy_label,0,7296,0.7183930681370618,-0.0015757225609053344,-0.0020000000000000018,0.0009103428265735139
test,buy,buy_label,1,2860,0.28160693186293817,0.00404999456150278,0.0044999999999999485,0.0009024936324672669
test,sell,sell_label,0,7123,0.7013588026782198,-0.0015274403250867112,-0.001996007984031878,0.000978785599606368
test,sell,sell_label,1,3033,0.29864119732178024,0.0038557986535763416,0.004520341536915939,0.001021158660426472
