label_col,split,sample_count,n_classes,positive_rate_if_binary,future_return_mean_all,future_return_mean_label_1,future_return_median_label_1
label,all,67705,2,0.24501883169632965,4.521621131556212e-05,0.00681381002277085,0.004493464052287566
label,train,47393,2,0.2334099972569789,-1.417629807374348e-05,0.00621602589137268,0.004263150230454316
label,valid,10156,2,0.25492319810949193,0.00020316507449710163,0.008578674198272667,0.005168220510741728
label,test,10156,2,0.2892871209137456,0.0001644226452477839,0.007509335792393847,0.004985395295957984
label_cost_adjusted,all,67705,2,0.1595303153386013,4.521621131556212e-05,0.009023509586527178,0.006299212598425141
label_cost_adjusted,train,47393,2,0.14632962673812588,-1.417629807374348e-05,0.00831581537027786,0.0060186029545867825
label_cost_adjusted,valid,10156,2,0.17753052382827886,0.00020316507449710163,0.01115198365147584,0.007117437722420128
label_cost_adjusted,test,10156,2,0.20313115399763687,0.0001644226452477839,0.009542278685211911,0.006733410117834682
label_3class,all,67705,3,,4.521621131556212e-05,,
label_3class,train,47393,3,,-1.417629807374348e-05,,
label_3class,valid,10156,3,,0.00020316507449710163,,
label_3class,test,10156,3,,0.0001644226452477839,,
label_dynamic_3class,all,67705,3,,4.521621131556212e-05,,
label_dynamic_3class,train,47393,3,,-1.417629807374348e-05,,
label_dynamic_3class,valid,10156,3,,0.00020316507449710163,,
label_dynamic_3class,test,10156,3,,0.0001644226452477839,,
label_dynamic_binary,all,67705,2,0.15131821874307658,4.521621131556212e-05,0.00849857388140425,0.005842891149101748
label_dynamic_binary,train,47393,2,0.15033865760766357,-1.417629807374348e-05,0.007548047934270643,0.005403319181783051
label_dynamic_binary,valid,10156,2,0.15222528554549036,0.00020316507449710163,0.010977030613326695,0.006859422074733668
label_dynamic_binary,test,10156,2,0.15498227648680582,0.0001644226452477839,0.010366936820270112,0.007480461600714028
label_trade_success,all,67705,2,0.23079536223321764,4.521621131556212e-05,0.006533904728788163,0.004557559955276402
label_trade_success,train,47393,2,0.21678306922963306,-1.417629807374348e-05,0.006020818848996173,0.004369964340531829
label_trade_success,valid,10156,2,0.2464552973611658,0.00020316507449710163,0.008063583340042934,0.0050654284508229175
label_trade_success,test,10156,2,0.2805238282788499,0.0001644226452477839,0.007040278461681187,0.004911828649649674
