prob_group,sample_count,pred_prob_mean,buy_label_mean,sell_label_mean,trade_return_mean,trade_return_median
0,1013,0.09538929,0.3119447186574531,0.32477788746298125,0.00034833529651759777,-0.0001984126984126977
1,1012,0.16489297,0.29545454545454547,0.36462450592885376,1.5079530219735455e-06,-0.0003665529989567151
2,1012,0.21905649,0.29545454545454547,0.35177865612648224,5.967740480825079e-05,-0.0003512943367566801
3,1013,0.27772316,0.3050345508390918,0.3395853899308983,0.00032553066004515697,-0.00022983222247752177
4,1012,0.34627137,0.32608695652173914,0.36363636363636365,0.00018190054384800835,-0.00024717119084594064
5,1012,0.43596005,0.3349802371541502,0.3290513833992095,0.00032264035828290385,-0.00016363306121758292
6,1013,0.54792124,0.3119447186574531,0.40078973346495556,-0.000187006200935596,-0.0004847701381595071
7,1012,0.6886016,0.3606719367588933,0.37450592885375494,0.0009598614408589126,-0.00024144379327234455
8,1012,0.85331476,0.3725296442687747,0.41304347826086957,-6.728226246206216e-05,-0.00034905789684663846
9,1013,0.97111756,0.36623889437314905,0.4471865745310958,-5.019993649552413e-05,-0.0005436048769125179
