,0
threshold,0.5142176777124405
horizon,3
round_trip_cost,0.003
trade_count,187
win_rate,0.2994652406417112
gross_return_mean,-0.0001355749583191111
net_return_mean,-0.0031355749583191115
gross_return_median,-0.0006767426122264997
net_return_median,-0.0036767426122264997
total_return,-0.45129913824103063
max_drawdown,-0.45000039804944103
per_trade_sharpe,-0.2663915492092451
trades_per_year,212.20876844739794
bar_annualized_sharpe,-28.71102816349531
sharpe,-3.880628831454021
avg_pred_prob,0.5334951367607729
positive_label_rate,0.9358288770053476
selected_by,fixed_validation_buy_probability_quantile
selected_quantile,0.95
