prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,trade_return_median,future_return_mean
0,1013,0.2471412217806643,0.21520236920039487,0.00020614670681509778,-0.00017418568193694473,0.0002046658954058935
1,1012,0.2999194169016255,0.2766798418972332,3.653867657873484e-05,-0.00028679474757514756,3.1328543359723035e-05
2,1012,0.32645138284399317,0.2628458498023715,-0.00013043275418126677,-0.00043895363411100563,-0.000140535247744055
3,1013,0.3450184031941005,0.3149062191510365,1.84664771504337e-05,-0.00023033513762515945,8.656031929855105e-06
4,1012,0.3607491803929909,0.3142292490118577,5.483710408273732e-05,-0.0005557320099299212,7.351717022235004e-05
5,1012,0.3744508547548083,0.3705533596837945,0.0005866684856848962,-0.00022529109948138393,0.0005498094689636516
6,1013,0.3878425524304561,0.35735439289239884,0.00034797458589686794,-0.0005517893741131541,0.00040153174684992164
7,1012,0.4031646323864291,0.38438735177865613,0.0005374877324606317,-0.00010056835398319919,0.0005043359761611953
8,1012,0.42258232843959503,0.3774703557312253,6.988704510397801e-05,-0.0003674889776938972,3.682922961176468e-05
9,1013,0.46301437248333494,0.4067127344521224,0.00016709177129471897,-0.00017655367231639296,5.234210834122614e-05
