signal_time,entry_time,exit_time,holding_bars,pred_prob,entry_price,exit_price,gross_return,round_trip_cost,net_return,y_true,equity
2025-07-08 09:40:00,2025-07-08 09:45:00,2025-07-08 09:55:00,3,0.6657306551933289,85.69,85.63,-0.0007001983895437158,0.003,-0.003700198389543716,0.0,0.9962998016104563
2025-07-10 09:40:00,2025-07-10 09:45:00,2025-07-10 09:55:00,3,0.6635744571685791,85.63,85.92,0.0033866635524932853,0.003,0.00038666355249328526,1.0,0.9966850344310955
2025-07-11 13:15:00,2025-07-11 13:20:00,2025-07-11 13:30:00,3,0.6637538075447083,88.66,88.6,-0.0006767426122264997,0.003,-0.0036767426122264997,1.0,0.9930204800940342
2025-07-17 09:40:00,2025-07-17 09:45:00,2025-07-17 09:55:00,3,0.6693519949913025,86.96,87.12,0.0018399264029440587,0.003,-0.0011600735970559413,0.0,0.9918685032537413
2025-07-17 13:55:00,2025-07-17 14:00:00,2025-07-17 14:10:00,3,0.6775716543197632,88.55,88.78,0.0025974025974027093,0.003,-0.00040259740259729077,1.0,0.9914691795706133
2025-07-21 09:35:00,2025-07-21 09:40:00,2025-07-21 09:50:00,3,0.6735223531723022,89.03,89.18,0.0016848253397732105,0.003,-0.0013151746602267896,0.0,0.9901652244292461
2025-07-23 09:35:00,2025-07-23 09:40:00,2025-07-23 09:50:00,3,0.6621655821800232,88.93,88.64,-0.0032609917912965747,0.003,-0.006260991791296575,0.0,0.9839658080870674
2025-07-24 10:25:00,2025-07-24 10:30:00,2025-07-24 10:40:00,3,0.6635118722915649,91.94,91.91,-0.00032629976071352207,0.003,-0.003326299760713522,0.0,0.9806928428550771
2025-07-24 11:05:00,2025-07-24 11:10:00,2025-07-24 11:20:00,3,0.6767776608467102,92.5,92.04,-0.004972972972972944,0.003,-0.007972972972972944,0.0,0.9728738053242055
2025-07-25 14:20:00,2025-07-25 14:25:00,2025-07-25 14:35:00,3,0.6731053590774536,92.33,92.67,0.003682443409509295,0.003,0.000682443409509295,1.0,0.9735377366409333
2025-07-25 14:45:00,2025-07-25 14:50:00,2025-07-25 15:00:00,3,0.6714653372764587,93.1,93.47,0.003974221267454503,0.003,0.0009742212674545029,1.0,0.9744861778086386
2025-07-28 09:40:00,2025-07-28 09:45:00,2025-07-28 09:55:00,3,0.663466215133667,92.62,92.93,0.0033470092852516675,0.003,0.00034700928525166746,1.0,0.9748243335606877
2025-08-04 09:40:00,2025-08-04 09:45:00,2025-08-04 09:55:00,3,0.6743448376655579,89.08,90.16,0.012123933542882881,0.003,0.009123933542882882,0.0,0.9837185659960805
2025-08-05 09:40:00,2025-08-05 09:45:00,2025-08-05 09:55:00,3,0.6716821789741516,90.0,90.02,0.00022222222222212373,0.003,-0.0027777777777778763,0.0,0.9809860144238691
2025-08-08 09:40:00,2025-08-08 09:45:00,2025-08-08 09:55:00,3,0.687385618686676,87.48,87.47,-0.00011431184270693784,0.003,-0.003114311842706938,0.0,0.977930918061619
2025-08-11 09:45:00,2025-08-11 09:50:00,2025-08-11 10:00:00,3,0.6742714643478394,86.41,86.51,0.0011572734637195214,0.003,-0.0018427265362804786,0.0,0.9761288588082577
2025-08-12 13:25:00,2025-08-12 13:30:00,2025-08-12 13:40:00,3,0.6712164878845215,89.76,88.91,-0.009469696969697017,0.003,-0.012469696969697016,0.0,0.9639568277355426
2025-08-14 13:30:00,2025-08-14 13:35:00,2025-08-14 13:45:00,3,0.6652505397796631,89.91,89.99,0.0008897786675563513,0.003,-0.002110221332443649,0.0,0.9619226654741003
2025-08-15 09:40:00,2025-08-15 09:45:00,2025-08-15 09:55:00,3,0.6647517085075378,88.96,89.35,0.00438399280575541,0.003,0.00138399280575541,0.0,0.9632539595228097
