feature,importance,side
amihud_48,0.02485545893161537,buy
amihud,0.01724137476364124,buy
down_volume_ratio_mean_20,0.015571807482675601,buy
range_per_volume_10,0.014638638879417933,buy
parkinson_vol_5,0.014268852083406343,buy
range_per_volume_20,0.013464918430519286,buy
clv_volume_sum_5,0.012815651687957286,buy
down_amount_ratio_mean_20,0.012802425192294792,buy
clv_volume_mean_20,0.01246911805422899,buy
vwap_roll_dev_10,0.012418044192234221,buy
mom_10_48,0.012396317258270905,buy
log_ret_20,0.011911610401794724,buy
mom_z_5_20,0.011603854072670393,buy
vwap_spread_48_day,0.011305786066938111,buy
vol_zscore_5_48,0.011084736149376146,buy
volume_change,0.010921167104569885,buy
range_mean_48,0.010915863843727058,buy
ret_amount,0.010765896185834125,buy
vwap_cum_slope_6,0.01075793328521811,buy
vol_zscore_20_48,0.010534483382452024,buy
range_vol_48,0.010504373489611736,buy
range_mean_10,0.010341545637933922,buy
volume_ratio_20,0.009912045956516203,buy
ma_dev_10,0.009663486994245664,buy
vol_48,0.009526188919131411,buy
signed_amount,0.009475611815628972,buy
body,0.009409370427332392,buy
range_per_volume_48,0.009399901330774847,buy
clv_volume_mean_48,0.00935970799548642,buy
adl_roll_norm_48,0.00913946598532805,buy
ma_slope_48,0.008744265453517006,buy
down_amount_ratio_mean_5,0.008743948254926968,buy
vol_ratio_5_20,0.008638925046153568,buy
vol_10,0.008574738068232253,buy
ma_slope_10,0.008289677317667778,buy
range_mean_5,0.00827016551676106,buy
clv_volume_mean_10,0.008035671290404375,buy
range_vol_5,0.007970630454054996,buy
range_per_volume,0.007938915566895683,buy
parkinson_vol_10,0.00787013624437715,buy
log_volume_same_bar_ratio,0.007841612997286578,buy
clv_mean_5,0.007835733117139537,buy
ret_10,0.007760706584000006,buy
amount_ratio_48,0.007737237264917145,buy
log_volume_ratio_20,0.007716045360427062,buy
volume_same_bar_ratio,0.007698541608604028,buy
vwap_spread_20_day,0.0076078870579635825,buy
ma_dev_20,0.00752380634228218,buy
up_amount_ratio_mean_10,0.007332799664867159,buy
clv_volume_mean_5,0.0073296929364510734,buy
bar_in_day_pct,0.007270441541703452,buy
signed_amount_mean_5,0.007258212095640957,buy
clv_volume_sum_20,0.007231840642371634,buy
range_vol_10,0.007096483873511148,buy
amount_same_bar_ratio,0.00704633062736154,buy
clv_sum_5,0.007027334041372637,buy
vwap_roll_slope_10,0.006955515041466821,buy
ma_gap_5_20,0.006930338848293717,buy
lower_shadow,0.006686611171182121,buy
range_mean_20,0.006678400272054416,buy
signed_volume,0.0066726840212034955,buy
down_volume_ratio_mean_10,0.0066300086421804336,buy
amount_ratio_10,0.0065656049665265845,buy
vol_zscore_10_48,0.006447158655605674,buy
vwap_roll_slope_5,0.006393006521519219,buy
parkinson_vol_48,0.006369204556955757,buy
amihud_10,0.006315916824288945,buy
vol_5,0.006246523735203746,buy
volume_ratio_5,0.006231678248136194,buy
price_zscore_48,0.006076876283201349,buy
log_amount_ratio_20,0.005951832958429755,buy
vwap_roll_slope_20,0.005938531664539179,buy
clv_volume_sum_10,0.0059131961352365215,buy
down_amount_ratio_mean_10,0.005746512194440839,buy
clv_mean_48,0.0057402860377201124,buy
bar_in_day,0.005684601981625506,buy
signed_volume_mean_10,0.005624179957119461,buy
range_vol_20,0.005610306969585362,buy
price_zscore_20,0.005580701598892956,buy
ret_48,0.005554063374154836,buy
vol_zscore_20_20,0.0053850133607466,buy
log_ret_1,0.005375563566589148,buy
log_amount_same_bar_ratio,0.005330049819175643,buy
mom_5_20,0.005246299343422955,buy
amihud_20,0.005238520046904749,buy
mom_z_3_20,0.0051221915384173375,buy
log_ret_3,0.005115938501167567,buy
vol_20,0.005110879398223316,buy
mom_change_6,0.005081933568116878,buy
log_volume_ratio_48,0.004978152914702559,buy
ret_20,0.004967984432476949,buy
adl_roll_norm_20,0.004930689331909751,buy
ret_prev_6,0.004898127871035061,buy
vwap_cum_slope_3,0.004897118573717686,buy
signed_volume_mean_5,0.00485365521396257,buy
signed_volume_mean_20,0.004667635538090491,buy
ret_amount_sum_20,0.004634004921010839,buy
clv_sum_48,0.00463187586238152,buy
ret_1,0.004618476190808103,buy
vol_ratio_10_48,0.004594515307872565,buy
parkinson_vol_20,0.004568607676316417,buy
signed_volume_sum_20,0.004456295207497315,buy
ma_gap_10_48,0.004444344439363622,buy
clv_volume_sum_48,0.004383119568992864,buy
signed_volume_sum_48,0.0043561659394403115,buy
clv,0.004293403208597839,buy
up_volume_ratio,0.004245577072255581,buy
signed_amount_mean_10,0.004158262677565533,buy
volume_ratio_48,0.004055626532016272,buy
intraday_range_position,0.0039612359372877375,buy
mom_3_10,0.00393149825459481,buy
vol_zscore_10_20,0.0038486016898902774,buy
clv_volume,0.00384188539830671,buy
clv_mean_10,0.00384138752790815,buy
log_ret_10,0.0038275070772263897,buy
volume_ratio_10,0.003762684790437008,buy
log_amount_ratio_5,0.0037165958581369205,buy
vwap_roll_slope_48,0.0035992192933023692,buy
vwap_dev_day,0.0035806104402277034,buy
ret_prev_3,0.0035731688093554675,buy
upper_shadow,0.0035426497443105053,buy
ret_3,0.003488260960441687,buy
clv_sum_10,0.003475191786173391,buy
clv_mean_20,0.0034636833480005723,buy
vwap_bar_dev,0.0034566656730027822,buy
up_volume_ratio_mean_5,0.003395626471579699,buy
down_volume_ratio_mean_5,0.0032991511344052983,buy
vol_zscore_5_20,0.003267468023754041,buy
ret_volume_sum_10,0.003256991260478418,buy
mom_z_10_48,0.0031677140554203266,buy
vwap_roll_dev_5,0.003120506146852363,buy
signed_volume_sum_10,0.0030534464190355272,buy
ma_dev_48,0.002753871653419454,buy
vwap_roll_dev_48,0.0026815683534895133,buy
vwap_roll_dev_20,0.0026593573030748037,buy
down_volume_ratio,0.0026365926399704296,buy
ret_recent_3,0.0026287778563088963,buy
log_amount_ratio_10,0.0025232411320872806,buy
ma_slope_5,0.0024259848946099854,buy
log_volume_ratio_5,0.0024150899464252472,buy
up_volume_ratio_mean_20,0.002411456320655782,buy
log_volume_ratio_10,0.0023764800054440114,buy
signed_amount_mean_48,0.002315414256767205,buy
amount_ratio_5,0.002269792325692197,buy
clv_sum_20,0.0021284976625130098,buy
amount_change,0.002101055100502318,buy
adl_roll_norm_10,0.002071631981219067,buy
up_amount_ratio_mean_5,0.001963292963383488,buy
signed_amount_sum_20,0.0019496340320523582,buy
amount_ratio_20,0.0019472775640188298,buy
up_amount_ratio_mean_20,0.0019039902964490946,buy
signed_amount_mean_20,0.0017995970409218276,buy
ret_volume,0.0017052912824794151,buy
log_ret_48,0.001587622848820042,buy
bar_range,0.0015701587404973794,buy
log_amount_ratio_48,0.0015372086538001251,buy
price_zscore_10,0.0014818174400375466,buy
log_ret_5,0.0014427407102460927,buy
up_amount_ratio,0.001306896129288574,buy
ma_dev_5,0.0012170090419348504,buy
down_ratio_3,0.0011894835604159427,buy
ret_amount_sum_5,0.0011688408356615321,buy
ret_5,0.001121582677636116,buy
ma_slope_20,0.0010839308526210778,buy
mom_change_3,0.0010645201989366985,buy
is_afternoon,0.0009595488321636955,buy
signed_amount_sum_48,0.0009452334452935352,buy
up_volume_ratio_mean_10,0.0008967857447264169,buy
signed_volume_mean_48,0.0008220085449141623,buy
up_bar,0.0007130872621996361,buy
up_ratio_20,0.00047037051101014393,buy
signed_volume_sum_5,0.00044879649256799285,buy
close_position,0.0003927252371403867,buy
down_amount_ratio,0.00022587216421765337,buy
is_after_lunch_open,0.00016293211219426534,buy
signed_amount_sum_5,1.5219995798341345e-18,buy
down_bar,0.0,buy
up_ratio_3,0.0,buy
up_ratio_5,0.0,buy
down_ratio_5,0.0,buy
up_ratio_10,0.0,buy
down_ratio_10,0.0,buy
down_ratio_20,0.0,buy
ret_volume_sum_5,0.0,buy
