side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.35037659108638763,76,0.5,0.25,-0.0003892319323542334,-0.0004504460509991031
buy,0.6,0.3553454577922821,62,0.40789473684210525,0.20967741935483872,-0.00031783370506071267,-0.00042603767805412276
buy,0.7,0.35927425920963285,46,0.3026315789473684,0.15217391304347827,-0.0009545614944783725,-0.001127117917845803
buy,0.75,0.3630879297852516,38,0.25,0.18421052631578946,-0.0007146497445898722,-0.0009304189895323568
buy,0.8,0.3690359115600586,31,0.20394736842105263,0.1935483870967742,-0.0007042680520152172,-0.0009815254811620878
buy,0.85,0.37279867082834245,23,0.1513157894736842,0.21739130434782608,-0.0009232419549832637,-0.001267748934401499
buy,0.9,0.3829355239868164,16,0.10526315789473684,0.25,-0.0007694090420391139,-0.001264816982803764
buy,0.95,0.3977589577436446,8,0.05263157894736842,0.375,-0.0010732813175972494,-0.002015942075664287
sell,0.5,0.34834645688533783,76,0.5,0.35526315789473684,-0.0010991754275706373,-0.0012764464765987647
sell,0.6,0.3659110784530639,61,0.40131578947368424,0.36065573770491804,-0.0006729746331893244,-0.0006955616409783126
sell,0.7,0.3789231687784195,46,0.3026315789473684,0.34782608695652173,-0.0005509055493536231,-0.0005809590127507031
sell,0.75,0.384540855884552,38,0.25,0.34210526315789475,-0.00034609292790763337,-0.00038235109749230087
sell,0.8,0.3971355378627777,31,0.20394736842105263,0.2903225806451613,-0.0001948953362158182,-0.00024354731066588895
sell,0.85,0.4111870840191841,23,0.1513157894736842,0.30434782608695654,-0.00048273548529062396,-0.0005724964435626235
sell,0.9,0.4220112144947052,16,0.10526315789473684,0.3125,-0.0009531843038308868,-0.0010563079005789372
sell,0.95,0.43514926731586456,8,0.05263157894736842,0.375,-0.0010429864818200102,-0.0011113198691827253
