side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.20085053890943527,76,0.5,0.23684210526315788,-0.00020408048409611382,-0.00041023877145102724
buy,0.6,0.23078087270259856,61,0.40131578947368424,0.26229508196721313,0.00012974846313088304,-0.00012049854021919618
buy,0.7,0.2630409449338913,46,0.3026315789473684,0.21739130434782608,0.00015566236797667413,-0.00019064449512926678
buy,0.75,0.27651797980070114,38,0.25,0.23684210526315788,0.0008707754517251096,0.00046189960704528783
buy,0.8,0.29633715748786926,31,0.20394736842105263,0.25806451612903225,0.0009427335811560304,0.00043715930162640545
buy,0.85,0.32184222489595415,23,0.1513157894736842,0.2608695652173913,-0.0002510423456895358,-0.0005556312233593319
buy,0.9,0.3600926250219345,16,0.10526315789473684,0.25,-0.0015189366398562498,-0.0019817975076760197
buy,0.95,0.5174509137868879,8,0.05263157894736842,0.375,-0.0011221255989540685,-0.0020481817132848995
sell,0.5,0.3932295888662338,76,0.5,0.3157894736842105,-0.00010486866238128205,-9.628642585317535e-05
sell,0.6,0.4273580491542816,61,0.40131578947368424,0.29508196721311475,0.00021032692025880014,0.00024572263454781607
sell,0.7,0.46270189583301546,46,0.3026315789473684,0.32608695652173914,-0.0003465945247574979,-0.00032616642652270335
sell,0.75,0.48238468915224075,38,0.25,0.2894736842105263,-0.00017657896475000538,-0.00016241180669094768
sell,0.8,0.5055316329002381,31,0.20394736842105263,0.2903225806451613,-0.00040516066945439275,-0.00040938153246129446
sell,0.85,0.5253180414438248,23,0.1513157894736842,0.2608695652173913,-0.000294359469185338,-0.00029422761887570143
sell,0.9,0.5630488932132721,16,0.10526315789473684,0.25,-0.0003894487654950568,-0.0003724513034602389
sell,0.95,0.5967898964881897,8,0.05263157894736842,0.125,-0.00030433467588927843,-0.0003204265549612423
