side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.3262689411640167,76,0.5,0.27631578947368424,-0.00024212815648308315,-0.00030692332692679544
buy,0.6,0.34640600085258483,61,0.40131578947368424,0.3114754098360656,-0.00023361364636817892,-0.00031659921878867325
buy,0.7,0.40066990852355955,46,0.3026315789473684,0.30434782608695654,-0.00038263732425676604,-0.00049233815275116
buy,0.75,0.42086857557296753,38,0.25,0.3157894736842105,-0.0005451552272762757,-0.0006779869559397647
buy,0.8,0.46181956529617313,31,0.20394736842105263,0.3225806451612903,-0.0006288064789391049,-0.0005699513217459404
buy,0.85,0.4790885895490646,23,0.1513157894736842,0.30434782608695654,0.0002572660695722199,0.0002462190947000272
buy,0.9,0.5049799740314483,16,0.10526315789473684,0.3125,-0.00023588693664328836,-0.00027682226880840904
buy,0.95,0.532141351699829,8,0.05263157894736842,0.375,0.00034369146841624343,0.0003103165960684495
sell,0.5,0.43248048424720764,76,0.5,0.40789473684210525,-0.0014193410123794375,-0.0015929615432388306
sell,0.6,0.4469818651676178,61,0.40131578947368424,0.39344262295081966,-0.0009039702258611165,-0.0011313303414944161
sell,0.7,0.465203058719635,46,0.3026315789473684,0.34782608695652173,-0.001308633144007978,-0.0014039433100774509
sell,0.75,0.4815577417612076,38,0.25,0.34210526315789475,-0.0011286347702978018,-0.0011432948998813413
sell,0.8,0.503865647315979,31,0.20394736842105263,0.3225806451612903,-0.0007291139086402776,-0.0007205853324405135
sell,0.85,0.5185934662818908,23,0.1513157894736842,0.30434782608695654,-0.0007088086785676445,-0.0007207080819586282
sell,0.9,0.5445958852767945,16,0.10526315789473684,0.375,-0.0010246555800995372,-0.001041823952032589
sell,0.95,0.5597867429256439,8,0.05263157894736842,0.5,-0.001327268064950593,-0.0013447485681097326
