check,passed,detail
root_file_exists:pipeline_manifest.json,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/pipeline_manifest.json
root_file_exists:run_config.json,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/run_config.json
root_file_exists:feature_cols.csv,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/feature_cols.csv
root_file_exists:feature_leakage_audit.json,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/feature_leakage_audit.json
root_file_exists:reproducibility_manifest.json,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/reproducibility_manifest.json
root_file_exists:live_readiness_report.json,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/live_readiness_report.json
walk_forward_file_exists:walk_forward_summary.json,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/walk_forward/walk_forward_summary.json
walk_forward_file_exists:walk_forward_fold_summary.csv,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/walk_forward/walk_forward_fold_summary.csv
walk_forward_file_exists:walk_forward_report.md,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/walk_forward/walk_forward_report.md
walk_forward_file_exists:methodology.json,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/walk_forward/methodology.json
walk_forward_file_exists:walk_forward_splits.csv,True,outputs/diagnostics/research_pipeline_readiness_smoke_v2/walk_forward/walk_forward_splits.csv
feature_leakage_audit_passed,True,suspicious_feature_count=0
data_hash_recorded,True,bc925d336dea3bf61c6399f8985aefb5437958fe845c1866bc26fbef2f297d0e
source_bundle_hash_recorded,True,38e5314d795ef64d1359311b2df53a48c0ab648f7469b1d9ee803834d256615c
config_hash_recorded,True,2ead0096b73b63586db8157e9c30dbe6890f833dcc32334cb79499bf0cb60e8d
fold_summary_non_empty,True,rows=1
stress_metrics_present,True,"fold,selected_model,train_start,train_end,test_start,test_end,subtrain_rows,calibration_rows,test_rows,test_buy_auc,test_sell_auc,valid_buy_auc,valid_sell_auc,total_return,annualized_return,max_drawdown,sharpe,sortino,calmar,trade_count,win_rate,avg_net_return_per_trade,median_net_return_per_trade,backtest_mode,buy_threshold,sell_threshold,initial_capital,final_equity,final_benchmark_equity,final_alpha_equity,alpha_total_return,alpha_sharpe,alpha_sortino,alpha_calmar,alpha_max_drawdown,base_shares,ending_shares,base_position_pct,max_t0_trade_pct,max_participation_rate,commission_rate,slippage_rate,tp,sl,no_overnight,stress_scenario_count,stress_min_alpha_total_return,stress_worst_alpha_drawdown,stress_min_trade_count,output_dir"
quality_report_present,True,True
live_readiness_status_present,True,FAIL
live_readiness_all_gates_boolean,True,"{'reproducibility_clean_source_tree': False, 'feature_leakage_passed': True, 'walk_forward_quality_passed': True, 'min_executed_folds': False, 'min_total_trades': False, 'positive_median_alpha_return': True, 'median_buy_auc_above_live_floor': True, 'median_sell_auc_above_live_floor': True, 'drawdown_within_live_limit': True, 'stress_alpha_positive': False, 'stress_drawdown_within_live_limit': True}"
hard_no_capital_rule_present,True,No real capital deployment unless status == PASS and all artifacts are reviewed.
