side,prob_group,sample_count,pred_prob_mean,label_mean,trade_return_mean,future_return_mean
buy,0,16,0.23329304266847448,0.25,4.816626470744573e-05,0.00019434537928888357
buy,1,15,0.36945837265334286,0.26666666666666666,-0.0007157544620189545,-0.0006974545779713682
buy,2,15,0.4908386472771375,0.26666666666666666,0.000649814854393016,0.0010287876356276074
buy,3,15,0.5980622426998461,0.3333333333333333,-0.00033639533883766205,-0.00028997404935853974
buy,4,15,0.6473694503518774,0.13333333333333333,-0.0013392729663645575,-0.0013024863192147018
buy,5,15,0.6868903716282765,0.2,-0.0007247358147566866,-0.0006334059036483097
buy,6,15,0.7112228094097937,0.13333333333333333,-0.000988177847289077,-0.0009698591156485526
buy,7,15,0.7348458555094085,0.13333333333333333,-0.0008491203328584514,-0.000923957211259611
buy,8,15,0.7591223318973773,0.26666666666666666,0.0008055876564623181,0.0008422758997118862
buy,9,16,0.7940891872410442,0.1875,-9.904288860793087e-05,0.0005250184931120255
sell,0,16,0.258684717742409,0.1875,0.000890061995407497,0.0009493409360553165
sell,1,15,0.2940714845541765,0.4,0.0016596744725465426,0.002352633873160137
sell,2,15,0.3165568000621249,0.4,-0.0017189768720307086,-0.0015915603821409958
sell,3,15,0.3346050486153976,0.3333333333333333,-0.0003557216008215569,-0.000300002182633774
sell,4,15,0.35656989361876923,0.06666666666666667,0.00011288361509275517,0.00013089613898846034
sell,5,15,0.37378990094448006,0.4666666666666667,-0.0013199890678606532,-0.0012922651545692017
sell,6,15,0.39496526886193795,0.26666666666666666,-0.00019276680810236256,-0.0002019979263987596
sell,7,15,0.42641239168599376,0.6666666666666666,-0.0015268726214192397,-0.001434327672464919
sell,8,15,0.45290467100905035,0.5333333333333333,-0.000751638285201861,-0.00040960709654203065
sell,9,16,0.5216733738100816,0.3125,-0.0003827952600638923,-0.00041733010036738155
