feature,importance,side
amihud,0.023013168821973826,buy
vwap_dev_day,0.021740229283509004,buy
vol_48,0.014659957882131872,buy
clv_volume_sum_5,0.014577640844644489,buy
vwap_roll_slope_48,0.013889029357863293,buy
volume_change,0.013283221907435937,buy
amount_ratio_48,0.012884825226850983,buy
range_vol_10,0.012342072515460904,buy
mom_change_3,0.012163774435098432,buy
ret_1,0.011416113062399043,buy
range_per_volume_10,0.011348171936208525,buy
vol_ratio_5_20,0.011094072097188412,buy
range_vol_5,0.010918740381963946,buy
adl_roll_norm_48,0.010906415243157845,buy
vwap_roll_dev_20,0.010327699757588266,buy
log_volume_ratio_20,0.009945620988791957,buy
amount_change,0.009603291396455833,buy
down_volume_ratio_mean_20,0.009525234104763216,buy
mom_z_3_20,0.009324789812313735,buy
log_amount_same_bar_ratio,0.009235615389057688,buy
range_vol_48,0.009215274064610732,buy
log_volume_ratio_10,0.009196530769219821,buy
clv_sum_10,0.009093931121273255,buy
vol_zscore_5_20,0.008932243205683716,buy
mom_5_20,0.008839930650185509,buy
price_zscore_10,0.00881675033576716,buy
mom_3_10,0.008770518797673432,buy
up_amount_ratio_mean_10,0.008666827975013072,buy
vwap_bar_dev,0.008545022080761851,buy
close_position,0.008537709263319945,buy
up_volume_ratio_mean_20,0.008448754351914698,buy
vwap_spread_20_day,0.008417687389029292,buy
mom_change_6,0.008233824230682236,buy
range_mean_48,0.008084889203531728,buy
amount_ratio_5,0.008001778514290056,buy
ret_prev_3,0.007986626895406685,buy
price_zscore_20,0.007790866153923563,buy
parkinson_vol_5,0.007672860485742597,buy
amihud_48,0.007671974291328021,buy
volume_ratio_48,0.007572098753339413,buy
clv_sum_48,0.007539783051998576,buy
parkinson_vol_48,0.00752618889978501,buy
ret_prev_6,0.007520192783305261,buy
vwap_spread_48_day,0.007492409207915362,buy
mom_z_10_48,0.007419845824679403,buy
up_amount_ratio_mean_20,0.007385987268590381,buy
parkinson_vol_20,0.007139248380127572,buy
ma_slope_48,0.007119336261619673,buy
clv_mean_20,0.007091984608928734,buy
ret_amount_sum_10,0.007086429770493976,buy
adl_roll_norm_10,0.006929802365562234,buy
vol_zscore_20_48,0.006919647662317596,buy
clv_mean_48,0.0069008081641262955,buy
signed_amount_sum_5,0.006896998671667983,buy
log_ret_48,0.006873117618900418,buy
ret_amount_sum_20,0.00682642530162668,buy
clv,0.006795130525067935,buy
ret_10,0.00673242517322276,buy
volume_ratio_5,0.006655559870871624,buy
amihud_10,0.006638213385071041,buy
lower_shadow,0.006598285101309635,buy
body,0.00659320301437704,buy
range_mean_5,0.006555359655373762,buy
vol_5,0.006540631637413382,buy
signed_amount_mean_5,0.00647047756787397,buy
clv_mean_10,0.006442391920100185,buy
parkinson_vol_10,0.006430247001945137,buy
mom_10_48,0.006262051683363148,buy
up_amount_ratio,0.006026215779103388,buy
signed_volume_mean_5,0.00590244472837601,buy
vwap_roll_dev_10,0.005867110508529915,buy
ret_recent_3,0.005817013389186641,buy
signed_volume_sum_5,0.0057838031662809375,buy
vol_10,0.005707744529850278,buy
ret_3,0.0056850908583756,buy
range_vol_20,0.005609326679898254,buy
clv_sum_20,0.005585092820148252,buy
intraday_range_position,0.005551670814575146,buy
ma_slope_20,0.0055037095164938606,buy
range_per_volume_20,0.005368573841579988,buy
clv_volume_mean_5,0.005328061743446333,buy
vwap_roll_slope_5,0.005309998413606902,buy
range_per_volume_48,0.005279409995943924,buy
clv_volume_sum_20,0.0052202114486382,buy
bar_in_day,0.005163914884214384,buy
vol_zscore_20_20,0.005150183305850344,buy
ret_amount_sum_5,0.005142779190145543,buy
clv_volume_mean_20,0.005082177991219997,buy
clv_volume_mean_48,0.00508151823470212,buy
up_volume_ratio_mean_5,0.005011922369791507,buy
down_amount_ratio_mean_5,0.004991865380259974,buy
clv_sum_5,0.0049314009695765855,buy
signed_volume_sum_10,0.004857847665132001,buy
bar_in_day_pct,0.004839208111801305,buy
down_amount_ratio_mean_10,0.004742527071486186,buy
volume_ratio_20,0.004695504558000619,buy
ma_gap_5_20,0.00442188069199516,buy
upper_shadow,0.0043980988072655075,buy
clv_volume_mean_10,0.0043864493159147646,buy
signed_amount_mean_20,0.004368457885024363,buy
down_amount_ratio_mean_20,0.00436540922216835,buy
signed_volume_sum_20,0.0042536871544734175,buy
log_amount_ratio_5,0.004251841119707672,buy
range_per_volume,0.00423760466406735,buy
vol_20,0.004197021590316837,buy
vol_zscore_10_20,0.004196015919479741,buy
clv_mean_5,0.004193670117282329,buy
clv_volume_sum_10,0.004172349161179615,buy
