side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.32469885653675423,76,0.5,0.2631578947368421,-0.0001737212903423111,-0.0004026849971799976
buy,0.6,0.41483870175875537,61,0.40131578947368424,0.32786885245901637,5.5884646982673845e-05,-4.7880042895119296e-05
buy,0.7,0.4982229672736811,46,0.3026315789473684,0.2826086956521739,-0.0002132545888835298,-0.00036844474330621524
buy,0.75,0.5520562199782457,38,0.25,0.3157894736842105,-0.0002671190464312067,-0.00044800710986497556
buy,0.8,0.580372739621569,31,0.20394736842105263,0.3548387096774194,0.00018226741552304548,-4.3561240781985955e-05
buy,0.85,0.6146387582820596,23,0.1513157894736842,0.34782608695652173,-0.00010949746580445486,-0.0004545924464825032
buy,0.9,0.649587868198041,16,0.10526315789473684,0.25,-0.0007093239021711967,-0.0011973348292048172
buy,0.95,0.6677089913737104,8,0.05263157894736842,0.125,-0.0024894734878670444,-0.0024391336394898877
sell,0.5,0.4507910661375928,76,0.5,0.40789473684210525,-0.001801021484072816,-0.0018437582391763185
sell,0.6,0.46141981524908243,61,0.40131578947368424,0.4098360655737705,-0.0017501409773299159,-0.0018150534389138788
sell,0.7,0.47481717886926816,46,0.3026315789473684,0.41304347826086957,-0.001998862807418451,-0.002085129177376524
sell,0.75,0.48439102708945436,38,0.25,0.47368421052631576,-0.0021473970188250215,-0.002251983382890872
sell,0.8,0.49180133445640195,31,0.20394736842105263,0.4838709677419355,-0.0024865917426048793,-0.002627921733159285
sell,0.85,0.5044080478637702,23,0.1513157894736842,0.5217391304347826,-0.00275297323043839,-0.0029196265429298957
sell,0.9,0.5270760699818798,16,0.10526315789473684,0.625,-0.004080608937458374,-0.004336854563768894
sell,0.95,0.5379176266493775,8,0.05263157894736842,0.5,-0.0041049836030321585,-0.004171757943058782
