feature,importance,side
amihud_48,0.024855458931615334,buy
amihud,0.017241374763641234,buy
down_volume_ratio_mean_20,0.01557180748267558,buy
range_per_volume_10,0.014638638879417938,buy
parkinson_vol_5,0.014268852083406357,buy
clv_volume_sum_5,0.012815651687957287,buy
down_amount_ratio_mean_20,0.012802425192294792,buy
clv_volume_mean_20,0.012469118054228982,buy
vwap_roll_dev_10,0.012418044192234204,buy
mom_10_48,0.0123963172582709,buy
range_per_volume_20,0.012150473676682337,buy
log_ret_20,0.011868841283448306,buy
mom_z_5_20,0.011603854072670363,buy
vwap_spread_48_day,0.011305786066938116,buy
vol_zscore_5_48,0.011084736149376148,buy
volume_change,0.010921167104569883,buy
range_mean_48,0.01091586384372708,buy
ret_amount,0.010765896185834128,buy
vwap_cum_slope_6,0.010757933285218114,buy
vol_zscore_20_48,0.010534483382452038,buy
range_vol_48,0.010480525095273328,buy
range_mean_10,0.010341545637933925,buy
volume_ratio_20,0.009912045956516197,buy
ma_dev_10,0.009663486994245685,buy
vol_48,0.009526188919131411,buy
signed_amount,0.009475611815628962,buy
body,0.00940937042733241,buy
clv_volume_mean_48,0.009359707995486402,buy
range_per_volume_48,0.009354140233293172,buy
ma_slope_48,0.008744265453517003,buy
down_amount_ratio_mean_5,0.008743948254926985,buy
vol_ratio_5_20,0.008638925046153571,buy
ma_slope_10,0.008289677317667811,buy
range_mean_5,0.008270165516761076,buy
vwap_roll_slope_5,0.008246595579858376,buy
clv_volume_mean_10,0.008035671290404368,buy
vol_10,0.008035284001013762,buy
range_vol_5,0.007970630454055001,buy
range_per_volume,0.007938915566895693,buy
parkinson_vol_10,0.007870136244377145,buy
clv_mean_5,0.007835733117139537,buy
adl_roll_norm_48,0.007812616432265664,buy
log_volume_same_bar_ratio,0.007790649810579996,buy
ret_10,0.007760706584000017,buy
amount_ratio_48,0.007737237264917143,buy
volume_same_bar_ratio,0.007698541608604039,buy
log_volume_ratio_20,0.007676248534443191,buy
lower_shadow,0.007609951299020587,buy
vwap_spread_20_day,0.007607887057963578,buy
ma_dev_20,0.007523806342282188,buy
clv_volume_mean_5,0.007476362710130333,buy
up_amount_ratio_mean_10,0.007332799664867157,buy
bar_in_day_pct,0.007270441541703452,buy
signed_amount_mean_5,0.00725821209564095,buy
clv_volume_sum_20,0.007231840642371662,buy
range_vol_10,0.007096483873511144,buy
amount_same_bar_ratio,0.007046330627361537,buy
clv_sum_5,0.007027334041372637,buy
vwap_roll_slope_10,0.0069555150414668246,buy
ma_gap_5_20,0.006930338848293726,buy
range_mean_20,0.0066784002720544034,buy
signed_volume,0.006672684021203495,buy
down_volume_ratio_mean_10,0.006630008642180433,buy
amount_ratio_10,0.006517850170456459,buy
vol_zscore_10_48,0.006447158655605667,buy
parkinson_vol_48,0.006369204556955759,buy
amihud_10,0.006315916824288952,buy
price_zscore_48,0.006259527278625987,buy
vol_5,0.006246523735203746,buy
volume_ratio_5,0.006231678248136189,buy
log_amount_ratio_20,0.005951832958429755,buy
vwap_roll_slope_20,0.005938531664539176,buy
clv_volume_sum_10,0.00591319613523653,buy
down_amount_ratio_mean_10,0.005746512194440838,buy
clv_mean_48,0.005740286037720111,buy
bar_in_day,0.005684601981625497,buy
signed_volume_mean_10,0.005624179957119453,buy
range_vol_20,0.0056103069695853615,buy
price_zscore_20,0.005580701598892948,buy
ret_48,0.005554063374154837,buy
vol_zscore_20_20,0.005385013360746601,buy
log_ret_1,0.005375563566589153,buy
log_amount_same_bar_ratio,0.005314042050846932,buy
mom_5_20,0.0052462993434229535,buy
amihud_20,0.005238520046904751,buy
vol_20,0.005110879398223332,buy
mom_z_3_20,0.0051045308763091055,buy
mom_change_6,0.005081933568116881,buy
log_ret_3,0.005079992326545459,buy
log_volume_ratio_48,0.00496903618827569,buy
ret_20,0.004967984432476944,buy
adl_roll_norm_20,0.004930689331909747,buy
ret_prev_6,0.004898127871035055,buy
vwap_cum_slope_3,0.004897118573717688,buy
signed_volume_mean_5,0.004853655213962564,buy
signed_volume_mean_20,0.004667635538090491,buy
ret_amount_sum_20,0.004634004921010839,buy
clv_sum_48,0.004631875862381516,buy
ret_1,0.004618476190808095,buy
vol_ratio_10_48,0.0045945153078725655,buy
parkinson_vol_20,0.004568607676316427,buy
signed_volume_sum_20,0.004456295207497329,buy
ma_gap_10_48,0.004444344439363637,buy
clv_volume_sum_48,0.004383119568992863,buy
signed_volume_sum_48,0.004356165939440311,buy
clv,0.00429340320859784,buy
signed_amount_mean_10,0.004158262677565538,buy
up_volume_ratio,0.004130890069871142,buy
volume_ratio_48,0.004055626532016268,buy
intraday_range_position,0.0039612359372877375,buy
mom_3_10,0.00393149825459481,buy
vol_zscore_10_20,0.0038486016898902713,buy
clv_volume,0.00384188539830671,buy
clv_mean_10,0.003841387527908145,buy
log_ret_10,0.0038275070772263754,buy
log_volume_ratio_5,0.003777869259656411,buy
volume_ratio_10,0.003762684790437014,buy
log_amount_ratio_5,0.003716595858136926,buy
vwap_roll_slope_48,0.0035992192933023666,buy
vwap_dev_day,0.003580610440227711,buy
ret_prev_3,0.003573168809355468,buy
upper_shadow,0.00352766021135366,buy
ret_3,0.003488260960441691,buy
clv_sum_10,0.003475191786173395,buy
clv_mean_20,0.0034636833480005814,buy
vwap_bar_dev,0.0034566656730027796,buy
up_volume_ratio_mean_5,0.0033956264715796973,buy
down_volume_ratio_mean_5,0.003299151134405297,buy
vol_zscore_5_20,0.0032674680237540434,buy
ret_volume_sum_10,0.0032569912604783783,buy
mom_z_10_48,0.0031677140554203244,buy
vwap_roll_dev_5,0.0031205061468523574,buy
signed_volume_sum_10,0.0030534464190355272,buy
ma_dev_48,0.002753871653419457,buy
vwap_roll_dev_48,0.0026815683534895086,buy
vwap_roll_dev_20,0.002659357303074805,buy
down_volume_ratio,0.0026365926399704296,buy
ret_recent_3,0.0026287778563088937,buy
log_amount_ratio_10,0.0025232411320872655,buy
up_volume_ratio_mean_20,0.002411456320655776,buy
log_volume_ratio_10,0.002376480005444013,buy
signed_amount_mean_48,0.002315414256767204,buy
amount_ratio_5,0.0022697923256921977,buy
clv_sum_20,0.0021284976625130063,buy
amount_change,0.0021010551005023158,buy
adl_roll_norm_10,0.0020716319812190682,buy
up_amount_ratio_mean_5,0.001963292963383494,buy
signed_amount_sum_20,0.0019496340320523575,buy
amount_ratio_20,0.0019450606098920086,buy
up_amount_ratio_mean_20,0.0019039902964490937,buy
signed_amount_mean_20,0.0017995970409218286,buy
ret_volume,0.0017052912824794138,buy
up_volume_ratio_mean_10,0.0016952685209601188,buy
log_ret_48,0.001587622848820041,buy
bar_range,0.001570158740497381,buy
log_amount_ratio_48,0.0015372086538001273,buy
price_zscore_10,0.0014818174400375477,buy
log_ret_5,0.0014427407102460942,buy
up_amount_ratio,0.0013068961292885789,buy
ma_dev_5,0.0012170090419348523,buy
down_ratio_3,0.0011894835604159425,buy
ret_amount_sum_5,0.0011688408356615332,buy
ret_5,0.0011215826776361157,buy
ma_slope_20,0.0010839308526210778,buy
mom_change_3,0.0010645201989366979,buy
is_afternoon,0.0009595488321636961,buy
signed_amount_sum_48,0.0009452334452935343,buy
signed_volume_mean_48,0.0008220085449141629,buy
ma_slope_5,0.0008007394638625414,buy
up_bar,0.000713087262199636,buy
up_ratio_20,0.00047037051101014404,buy
signed_volume_sum_5,0.00044879649256799285,buy
close_position,0.00039272523714038694,buy
down_amount_ratio,0.00022587216421765324,buy
is_after_lunch_open,0.00016293211219426534,buy
signed_amount_sum_5,1.5219995798341352e-18,buy
down_bar,0.0,buy
up_ratio_3,0.0,buy
up_ratio_5,0.0,buy
down_ratio_5,0.0,buy
up_ratio_10,0.0,buy
down_ratio_10,0.0,buy
down_ratio_20,0.0,buy
ret_volume_sum_5,0.0,buy
ret_amount_sum_10,0.0,buy
ret_volume_sum_20,0.0,buy
signed_amount_sum_10,0.0,buy
