feature,base_auc,importance_auc_drop_mean,importance_auc_drop_std,n_repeats
adl_roll_norm_48,0.6124999999999999,0.09157986111111105,0.028315115330382116,3
log_amount_ratio_10,0.6124999999999999,0.0382812499999999,0.01488405225649497,3
log_volume_ratio_10,0.6124999999999999,0.03350694444444439,0.009896594756281706,3
up_ratio_10,0.6124999999999999,0.02439236111111102,0.0035089206478138325,3
up_bar,0.6124999999999999,0.022309027777777695,0.009512241341529629,3
amount_ratio_20,0.6124999999999999,0.021614583333333288,0.02284256485373789,3
up_ratio_3,0.6124999999999999,0.020920138888888846,0.008593311576919883,3
range_per_volume_48,0.6124999999999999,0.019010416666666585,0.02543387964499905,3
log_amount_same_bar_ratio,0.6124999999999999,0.01588541666666654,0.0022199152521778813,3
up_ratio_5,0.6124999999999999,0.014843749999999897,0.007254368894366694,3
range_per_volume_20,0.6124999999999999,0.014062499999999903,0.033052063088728614,3
amount_same_bar_ratio,0.6124999999999999,0.012239583333333304,0.004106554226567667,3
mom_change_3,0.6124999999999999,0.012065972222222202,0.0016239832407872977,3
up_amount_ratio,0.6124999999999999,0.011892361111111027,0.0056028262371891815,3
vol_zscore_20_48,0.6124999999999999,0.011805555555555514,0.006200372023759909,3
log_volume_ratio_48,0.6124999999999999,0.010937499999999933,0.008422375848331396,3
down_bar,0.6124999999999999,0.01076388888888887,0.020092439248860155,3
log_amount_ratio_48,0.6124999999999999,0.010590277777777657,0.0088294521631607,3
vol_ratio_10_48,0.6124999999999999,0.010416666666666555,0.004101045767714459,3
amihud_20,0.6124999999999999,0.00954861111111105,0.002871151980649491,3
vwap_roll_dev_5,0.6124999999999999,0.00920138888888881,0.003811544861128519,3
vwap_roll_slope_20,0.6124999999999999,0.00902777777777771,0.00753660210803755,3
ret_volume,0.6124999999999999,0.008593749999999956,0.0074054856809865075,3
down_ratio_5,0.6124999999999999,0.008420138888888892,0.002097751037082376,3
log_amount_ratio_20,0.6124999999999999,0.008420138888888781,0.003817471081127753,3
ret_amount,0.6124999999999999,0.008246527777777716,0.002831511533038235,3
parkinson_vol_5,0.6124999999999999,0.008159722222222165,0.0029334627167909594,3
down_amount_ratio,0.6124999999999999,0.008159722222222165,0.005808842022333939,3
clv_sum_48,0.6124999999999999,0.007465277777777761,0.010202515112555042,3
vwap_spread_20_day,0.6124999999999999,0.007118055555555484,0.005742303961299074,3
