feature,base_auc,importance_auc_drop_mean,importance_auc_drop_std,n_repeats
up_bar,0.5774509803921568,0.03816993464052287,0.003809958599160726,3
price_zscore_20,0.5774509803921568,0.03346405228758161,0.011769425342418727,3
amount_same_bar_ratio,0.5774509803921568,0.03215686274509796,0.006395884874627468,3
close_position,0.5774509803921568,0.03189542483660127,0.009461108847877252,3
log_amount_ratio_10,0.5774509803921568,0.030457516339869223,0.019480852386965872,3
vwap_roll_dev_5,0.5774509803921568,0.02771241830065352,0.0011358266141818737,3
down_volume_ratio_mean_20,0.5774509803921568,0.025686274509803875,0.002731056524938018,3
adl_roll_norm_48,0.5774509803921568,0.025359477124182888,0.005420503821337361,3
amihud_48,0.5774509803921568,0.024640522875816934,0.009395865292318539,3
down_ratio_10,0.5774509803921568,0.02124183006535944,0.006860566102874593,3
log_volume_ratio_10,0.5774509803921568,0.020653594771241807,0.02052266766473684,3
is_close_30min,0.5774509803921568,0.020065359477124105,0.009275060207428566,3
price_zscore_48,0.5774509803921568,0.019150326797385486,0.00985910395935069,3
up_ratio_20,0.5774509803921568,0.01869281045751629,0.0121572141350579,3
clv,0.5774509803921568,0.01777777777777767,0.007685229576386233,3
log_amount_same_bar_ratio,0.5774509803921568,0.017385620915032596,0.007423985038159104,3
signed_volume_mean_5,0.5774509803921568,0.016993464052287594,0.007146035920834818,3
amount_ratio_20,0.5774509803921568,0.01699346405228756,0.016693429748826826,3
down_amount_ratio_mean_20,0.5774509803921568,0.01673202614379084,0.004795800347148809,3
vol_zscore_20_48,0.5774509803921568,0.014836601307189445,0.014409059666400978,3
price_zscore_10,0.5774509803921568,0.013725490196078383,0.0031899174750097893,3
is_morning,0.5774509803921568,0.013333333333333308,0.010580970637829123,3
amihud,0.5774509803921568,0.013137254901960752,0.0030418500073777772,3
volume_ratio_20,0.5774509803921568,0.012745098039215605,0.008332756612108147,3
amount_ratio_5,0.5774509803921568,0.012549019607843048,0.006794242611720846,3
range_vol_20,0.5774509803921568,0.012026143790849653,0.010062388153228496,3
vol_ratio_5_20,0.5774509803921568,0.011895424836601295,0.0034535541996399553,3
volume_ratio_10,0.5774509803921568,0.011568627450980343,0.019819123137328483,3
ma_dev_10,0.5774509803921568,0.011503267973856183,0.0061950303848746805,3
clv_volume_mean_10,0.5774509803921568,0.010849673202614282,0.001841699712889547,3
