feature,base_auc,importance_auc_drop_mean,importance_auc_drop_std,n_repeats
clv_volume_mean_20,0.5135416666666666,0.01970486111111099,0.0030837360535297996,3
range_per_volume_48,0.5135416666666666,0.017534722222222077,0.01317844424607525,3
log_ret_20,0.5135416666666666,0.012760416666666533,0.0011838699389744808,3
volume_ratio_20,0.5135416666666666,0.01197916666666656,0.003827327723098702,3
clv_volume_sum_5,0.5135416666666666,0.011371527777777668,0.0071455262594641135,3
bar_in_day_pct,0.5135416666666666,0.011024305555555447,0.0059015010874248685,3
amount_ratio_48,0.5135416666666666,0.010677083333333207,0.0009268297093777173,3
adl_roll_norm_48,0.5135416666666666,0.010069444444444372,0.0026585751442905576,3
clv_volume_sum_20,0.5135416666666666,0.009982638888888803,0.0012816686684230983,3
volume_ratio_5,0.5135416666666666,0.009201388888888773,0.0017704928866641987,3
amihud,0.5135416666666666,0.008506944444444331,0.002150956891208987,3
amihud_20,0.5135416666666666,0.00798611111111099,0.0006495932963149725,3
log_volume_same_bar_ratio,0.5135416666666666,0.007899305555555439,0.0006138079697800327,3
down_volume_ratio_mean_5,0.5135416666666666,0.00746527777777765,0.003410917136178593,3
ret_1,0.5135416666666666,0.007031249999999896,0.0009268297093777693,3
signed_amount,0.5135416666666666,0.006857638888888795,0.0022131161083301775,3
clv_volume_mean_5,0.5135416666666666,0.006336805555555454,0.004343748612221124,3
ma_slope_20,0.5135416666666666,0.005729166666666563,0.003937950077157511,3
range_per_volume_20,0.5135416666666666,0.005555555555555462,0.008564326030847622,3
up_amount_ratio_mean_10,0.5135416666666666,0.005034722222222084,0.0034175381397620642,3
range_vol_5,0.5135416666666666,0.00486111111111102,0.005962473875373032,3
vwap_cum_slope_6,0.5135416666666666,0.004861111111110983,0.005227107367126574,3
body,0.5135416666666666,0.004687499999999882,0.0009743899444724043,3
log_ret_3,0.5135416666666666,0.00442708333333323,0.003217665450147701,3
ret_3,0.5135416666666666,0.004340277777777642,0.0008050016055118059,3
log_volume_ratio_5,0.5135416666666666,0.004166666666666578,0.006133167268283255,3
up_amount_ratio_mean_5,0.5135416666666666,0.004079861111111027,0.0006495932963149329,3
amount_same_bar_ratio,0.5135416666666666,0.003993055555555476,0.0023899131767249992,3
ma_dev_48,0.5135416666666666,0.0038194444444443754,0.0033236440484508043,3
log_ret_1,0.5135416666666666,0.0033854166666665484,0.0007365695637359714,3
