feature,base_auc,importance_auc_drop_mean,importance_auc_drop_std,n_repeats
volume_same_bar_ratio,0.6427450980392156,0.015882352941176386,0.004609581093465445,3
intraday_range_position,0.6427450980392156,0.01562091503267963,0.00511393533124674,3
up_amount_ratio_mean_5,0.6427450980392156,0.010261437908496651,0.00197597600755958,3
price_zscore_10,0.6427450980392156,0.009803921568627416,0.006809315825170714,3
vol_zscore_10_48,0.6427450980392156,0.009281045751633946,0.0026029160459790555,3
adl_roll_norm_48,0.6427450980392156,0.008235294117647007,0.0014673166222642915,3
amihud_48,0.6427450980392156,0.007516339869280982,0.002533048676480547,3
clv_sum_20,0.6427450980392156,0.007189542483660105,0.004212518442959974,3
clv_volume_mean_5,0.6427450980392156,0.007124183006535907,0.007413620359973483,3
log_amount_ratio_10,0.6427450980392156,0.00699346405228755,0.0013616121997385273,3
signed_volume,0.6427450980392156,0.006339869281045758,0.000666538498508886,3
clv_volume_sum_48,0.6427450980392156,0.006274509803921524,0.004456922123198033,3
price_zscore_20,0.6427450980392156,0.0062091503267973636,0.006356356165445362,3
amount_same_bar_ratio,0.6427450980392156,0.005686274509803894,0.001804205717887861,3
is_after_weekend,0.6427450980392156,0.005620915032679696,0.0010416586568960326,3
vol_10,0.6427450980392156,0.005620915032679659,0.0028743311669667897,3
clv_volume_mean_20,0.6427450980392156,0.005424836601307177,0.0034498413648095445,3
clv_mean_5,0.6427450980392156,0.005424836601307141,0.0025632250393631544,3
close_position,0.6427450980392156,0.004640522875816955,0.007053980425219391,3
vwap_dev_day,0.6427450980392156,0.004313725490196078,0.0013678725187226293,3
vwap_cum_slope_3,0.6427450980392156,0.0041176470588234855,0.001846332927036001,3
vol_zscore_20_20,0.6427450980392156,0.004052287581699361,0.0024507625175493497,3
signed_volume_mean_48,0.6427450980392156,0.004052287581699288,0.0017562129205940234,3
vwap_bar_dev,0.6427450980392156,0.0037254901960783737,0.001270733470276026,3
is_afternoon,0.6427450980392156,0.003660130718954213,0.007217414778287896,3
clv_volume_sum_20,0.6427450980392156,0.0036601307189541763,0.0028203201320773723,3
signed_volume_mean_10,0.6427450980392156,0.0035947712418300895,0.004212518442960024,3
ret_20,0.6427450980392156,0.0035947712418300895,0.002058564150068427,3
amihud_10,0.6427450980392156,0.0035947712418300157,0.0032666664051241275,3
amihud,0.6427450980392156,0.0033333333333331883,0.0016637806616154628,3
