side,quantile,threshold,signal_count,signal_ratio,active_label_mean,active_trade_return_mean,active_future_return_mean
buy,0.5,0.3700289259869348,76,0.5,0.21052631578947367,-0.0006168862712924818,-0.0008170932242132281
buy,0.6,0.3787106486635882,61,0.40131578947368424,0.21311475409836064,-0.00031632584120697913,-0.0005140787131566537
buy,0.7,0.3909791676326838,46,0.3026315789473684,0.2391304347826087,-0.0002976266194928605,-0.0003653249575270868
buy,0.75,0.40147849145437936,38,0.25,0.2631578947368421,1.0256704625624815e-05,-5.3201936506068394e-05
buy,0.8,0.41177934008309075,31,0.20394736842105263,0.2903225806451613,0.0002220276642933095,0.00017052598149473158
buy,0.85,0.4228469908066785,23,0.1513157894736842,0.30434782608695654,0.00039113949939263763,0.0003219097209280872
buy,0.9,0.4473069956488319,16,0.10526315789473684,0.375,0.0009150404211976937,0.0008820811277005652
buy,0.95,0.4752142490858917,8,0.05263157894736842,0.375,0.0016749795793758737,0.001726455504026586
sell,0.5,0.4507910661375928,76,0.5,0.40789473684210525,-0.001801021484072816,-0.0018437582391763185
sell,0.6,0.4614198152490824,61,0.40131578947368424,0.4098360655737705,-0.0017501409773299159,-0.0018150534389138788
sell,0.7,0.4748171788692681,46,0.3026315789473684,0.41304347826086957,-0.001998862807418451,-0.002085129177376524
sell,0.75,0.48439102708945436,38,0.25,0.47368421052631576,-0.0021473970188250215,-0.002251983382890872
sell,0.8,0.49180133445640184,31,0.20394736842105263,0.4838709677419355,-0.0024865917426048793,-0.002627921733159285
sell,0.85,0.5044080478637702,23,0.1513157894736842,0.5217391304347826,-0.00275297323043839,-0.0029196265429298957
sell,0.9,0.5270760699818797,16,0.10526315789473684,0.625,-0.004080608937458374,-0.004336854563768894
sell,0.95,0.5379176266493775,8,0.05263157894736842,0.5,-0.0041049836030321585,-0.004171757943058782
