,0
threshold,0.6668990761041641
horizon,12
round_trip_cost,0.003
trade_count,50
win_rate,0.4
gross_return_mean,0.0016338573567571736
net_return_mean,-0.0013661426432428272
gross_return_median,-0.0014199541801721005
net_return_median,-0.004419954180172101
total_return,-0.07920816749311244
max_drawdown,-0.17244091811584483
per_trade_sharpe,-0.056144955508646316
trades_per_year,58.55776617419477
bar_annualized_sharpe,-6.05116567560767
sharpe,-0.42963830307754486
avg_pred_prob,0.6790171790122986
positive_label_rate,0.4
selected_by,validation_net_return_mean
selected_quantile,0.95
