,mean,std,min,median,max,positive_total_return_rate,positive_net_return_mean_rate
valid_auc,0.570186574704075,0.002323469829011304,0.5678854419516949,0.5702715298664874,0.5738029298515981,,
test_auc,0.5242730563956609,0.003359529965390832,0.5195880550937488,0.5246344940237052,0.5287458328141607,,
trade_count,83.4,15.725775020646836,65.0,79.0,103.0,,
win_rate,0.3818694980774064,0.02312372440464318,0.35135135135135137,0.3883495145631068,0.4050632911392405,,
gross_return_mean,0.0006361699234732615,0.000991025969269017,-0.00019550859542656732,0.00015220073954963614,0.0022635199069417893,,
net_return_mean,-0.0023638300765267393,0.0009910259692690168,-0.0031955085954265684,-0.0028477992604503647,-0.000736480093058212,,0.0
total_return,-0.1844457404191488,0.06563099411294467,-0.2486884330909107,-0.2169258446918595,-0.09091634584287789,0.0,
max_drawdown,-0.28262764205941954,0.03538899698001233,-0.3176309292820091,-0.2959128164505539,-0.22469487480648176,,
per_trade_sharpe,-0.12317175864988195,0.0560028292831023,-0.17743437849338628,-0.15125574508141418,-0.037378857195219085,,
trades_per_year,97.77819005764177,18.293278014791202,76.30860573864715,92.74430543620191,120.58066885537811,,
bar_annualized_sharpe,-13.275150214191845,6.035847659415046,-19.123442366012945,-16.301973429013852,-4.028601601052439,,
sharpe,-1.2038232755142295,0.5739841758950451,-1.8810208872374532,-1.4097774184855454,-0.4104543508564172,,
