prob_group,sample_count,pred_prob_mean,label_mean,future_return_mean,future_return_median
0,1013,0.30747637,0.058242843,0.00044040026297967886,0.0
1,1012,0.40292463,0.07905138,-0.00018093210344604887,-0.0004890720564701967
2,1012,0.4510044,0.1353755,0.00032622093500899075,-0.00028301899134858255
3,1013,0.4892521,0.12240869,2.3642968269051518e-05,-0.0004271678769756093
4,1012,0.52182305,0.15513834,0.0007167111240209138,0.0
5,1012,0.5532727,0.13142292,-0.00011725713518985607,-0.0005129607843091799
6,1013,0.5861373,0.15399803,9.581830167571289e-05,-0.0003656641374897296
7,1012,0.623397,0.17391305,-0.0004097576506961399,-0.0004735151783092362
8,1012,0.6735499,0.21837945,-1.8841974172876544e-05,-0.0003302257114818352
9,1013,0.7632908,0.32280356,0.0007565033236955494,-7.793017456347862e-05
