prob_group,sample_count,pred_prob_mean,label_mean,future_return_mean,future_return_median
0,338,0.20157504,0.085798815,-0.00015862141140256272,-0.00022892922677064664
1,337,0.32437524,0.05637982,-0.0006700909865475075,-0.0007651109410863333
2,337,0.38359848,0.10385757,-0.00014619292762256596,-0.0003504775256285564
3,337,0.4280625,0.15430267,0.0004796999181909688,-0.00015384615384628209
4,337,0.46562946,0.118694365,0.00023497370740965709,-0.0001482359916986642
5,337,0.5061196,0.16320474,-6.435226056017841e-05,-0.0003494975972040404
6,337,0.55217147,0.18694362,8.806335375657983e-05,-0.0005374899220639273
7,337,0.60958606,0.2106825,-0.00026262027629784027,-0.00033229951262736535
8,337,0.6757415,0.31750742,0.0005140579047207743,8.170602173374064e-05
9,338,0.7616016,0.40532544,0.0013578972299249806,0.0003819550619660328
